title,categories,address,price,date_posted,PIDs,beds,newly_built,serviced,furnished,baths,toilets,price_per_day_₦,price_per_month_₦,price_per_year_₦,state
4 Bedroom Flat,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Off Bishop Oluwole Road Victoria Island Lagos,"  65,000 ",2019-02-04, 8BZXC,4,True,True,True,4,5,65000,780000,23725000,Lagos
Newly Built Furnished 4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Chevy View Estate Chevron Lekki Lagos,"  85,000 ",2019-07-23, 8CLAB,4,True,False,False,4,5,85000,1020000,31025000,Lagos
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SHORTLET,"Lekki Palm City Estate, Ado Ajah Lagos","  100,000/day ",2022-08-14, 2HBZG,4,False,True,True,5,5,100000,3000000,36500000,Lagos
"Top Notch 4 Bedrooms Duplex, We Accept Party Put Different Price",4 BEDROOM HOUSE FOR SHORTLET,Alfa Beach Lekki Phase 2 Lekki Lagos,"  80,000 ",2022-01-05, 3FWFC,4,False,True,True,4,4,80000,960000,29200000,Lagos
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Ologolo Ologolo Lekki Lagos,"  140,000/day ",2022-10-21, 8HLTC,4,True,True,True,4,5,140000,4200000,51100000,Lagos
Furnished And Service 4bedroom Flat Penthouse Bfor Short Let,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Prime Water Garden 2 Lekki Phase 2 Lekki Lagos,"  160,000 ",2020-12-19, 9EDBN,4,False,False,False,4,5,160000,1920000,58400000,Lagos
Haap Flex 4 Bedroom Apartment,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,4 Dapo Solanke Close Lekki Phase 1 Lekki Lagos,"  120,000/day ",2022-05-19, 8GQBZ,4,False,False,True,0,0,120000,3600000,43800000,Lagos
4 Bedroom Fully Detach Duplex,4 BEDROOM HOUSE FOR SHORTLET,No 4a Harmony Close Agungi East Estate Opposite Domino Pizza Agungi Agungi Lekki Lagos,"  100,000/day ",2022-07-13, 4GXYV,4,False,False,True,4,5,100000,3000000,36500000,Lagos
4 Bedroom Duplex,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Osapa London Lekki Lagos,"  130,000/day ",2022-12-08, 0HSQN,4,True,True,True,5,5,130000,3900000,47450000,Lagos
Exquisitely Furnished 4bedrooms,4 BEDROOM HOUSE FOR SHORTLET,Agungi Agungi Lekki Lagos,"  135,000 ",2022-01-31, 7FZJZ,4,False,True,True,4,4,135000,1620000,49275000,Lagos
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,By Hotel Bus Stop Diamond Estate Phase 3 Pipeline Alimosho Lagos,"  150,000/month ",2022-05-25, 4GQYK,4,False,False,False,0,0,5000.0,150000,1800000,Lagos
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SHORTLET,Lekki Lagos,"  60,000/day ",2023-02-12, 6JAAX,4,False,True,True,4,5,60000,1800000,21900000,Lagos
4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SHORTLET,Apo Abuja,"  30,000,000/day ",2023-05-08, 4JKXS,4,False,True,True,4,5,30000000,900000000,10950000000,Abuja
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Ikota Road Lekki Lagos,"  90,000/day ",2023-05-05, 9JKPX,4,True,True,True,4,5,90000,2700000,32850000,Lagos
