title,categories,address,agent,price,PIDs,newly_built,serviced,furnished,beds,baths,toilets,price_per_day_₦,price_per_month_₦,price_per_year_₦,date_posted,date_updated,state
2 Bedrooms Shortstay Furnished And Serviced Apartment,2 BEDROOM HOUSE FOR SHORTLET,Off Oba Akinjobi Ikeja Gra Ikeja Lagos,distinct-pragmatic-limited,"  65,000 ", 2BZMB,True,True,True,2,2,3,65000,780000,23725000,2019-01-28,2023-08-13,Lagos
2 Bedrooms Super Luxury Apartment For Short Stay,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,Eko Atlantic Victoria Island Lagos,kennedy-otunku,"  155,000 ", 9DFHB,False,False,False,2,3,3,155000,1860000,56575000,2020-05-02,2023-08-13,Lagos
2 Bedroom Duplex,2 BEDROOM HOUSE FOR SHORTLET,Sangotedo Ajah Lagos,leewardproperties,"  60,000/day ", 8JVZS,True,True,True,2,0,0,60000,1800000,21900000,2023-07-25,2023-07-31,Lagos
2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,Whitesand Lekki Lagos,prince-ademola-osinuga,"  95,000/day ", 4HSQL,False,True,True,2,2,2,95000,2850000,34675000,2022-12-08,2023-08-13,Lagos
Tastefully Finished And Furnished Two (2) Bedroom,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,Reverend Ogunbiyi Street Ikeja Gra Ikeja Lagos,property-magnate,"  55,000 ", 1DBBD,False,False,False,2,2,3,55000,660000,20075000,2020-03-02,2023-08-09,Lagos
Prince Ademola Osinuga Specials! One Of The Best 2 Bedroom Apartments In Ikoyi!,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,... Old Ikoyi Ikoyi Lagos,giftedkings-property, $ 370 , 8ECKU,False,True,False,2,3,3,370,4440,135050,2020-12-10,2023-08-11,Lagos
2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,Oregun Ikeja Lagos,shedrack-luka,"  55,000/day ", 7JHYU,False,False,False,2,0,0,55000,1650000,20075000,2023-04-24,2023-08-09,Lagos
Luxury 2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikate Lekki Lagos,tonybee-properties-limited,"  85,000/day ", 1HKZE,True,True,True,2,2,3,85000,2550000,31025000,2022-10-15,2023-07-31,Lagos
Furnished 2 Bedroom Flat,2 BEDROOM HOUSE FOR SHORTLET,Nnpc Fuel Station Guzape Abuja,shelters-apartment,"  100,000/day ", 2HTQJ,False,False,False,2,2,3,100000,3000000,36500000,2022-12-17,2023-08-12,Abuja
2 Bedroom Apartment,2 BEDROOM HOUSE FOR SHORTLET,Ashi Bodija Ibadan Oyo,first-homes-and-properties,"  50,000/day ", 6HNJJ,True,True,False,2,5,5,50000,1500000,18250000,2022-11-03,2023-08-13,Oyo
2 Bedrooms Service Apartment,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,Alade Allen Avenue Ikeja Lagos,decade-homes-housing-mall,"  45,000/day ", 8GVGR,False,True,False,2,2,3,45000,1350000,16425000,2022-06-21,2023-07-31,Lagos
Tastefully Built 2 Bedroom Service Apartment,2 BEDROOM HOUSE FOR SHORTLET,Oke'badan Estate Akobo Ibadan Oyo,shelters-apartment,"  50,000 ", 6FXNA,True,True,True,2,2,3,50000,600000,18250000,2022-01-17,2023-08-09,Oyo
2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,Jahi Abuja,kim-thompson-,"  90,000/day ", 5HRAT,False,True,False,3,7,7,90000,2700000,32850000,2022-11-25,2023-08-09,Abuja
Luxury 2bedroom,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,Garki 1 Abuja,property-magnate,"  70,000 ", 7FFUL,False,True,True,3,3,4,70000,840000,25550000,2021-08-26,2023-08-02,Abuja
Furnished 3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Lekki Phase 1 Lekki Phase 1 Lekki Lagos,bright-innocent1,"  150,000/day ", 6HJRB,False,True,True,3,4,4,150000,4500000,54750000,2022-10-05,2023-08-09,Lagos
