title,categories,address,agent,PIDs,newly_built,serviced,furnished,beds,baths,toilets,price_₦,date_posted,date_updated,type,state
3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR RENT,"Olukolu Street, Igbo Efon Lekki Lagos",spartan-planet, 1KCGX,False,False,False,2,2,2,2200000,2023-09-07,2023-09-08,rent,Lagos
Newly Built 3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR RENT,"Lekki, Admiralty Lekki Phase 1 Lekki Lagos",478, 8KCKW,False,True,False,0,0,0,3045000,2023-09-08,,rent,Lagos
29sqm Shop Space In A Busy Environment,COMMERCIAL PROPERTY FOR RENT,Ikate Lekki Lagos,benjamin-glory, 6KCKW,False,False,False,4,4,5,5000000,2023-09-08,,rent,Lagos
4 Bedroom Terrace Duplex At Ikate For 4m.,4 BEDROOM HOUSE FOR RENT,Chevron Lekki Lagos,daniel-uche-properties, 5KCKW,True,True,False,1,1,1,1500000,2023-09-08,,rent,Lagos
Brand New Studio Apartment With 24hrs Light,1 BEDROOM FLAT / APARTMENT FOR RENT,Osapa London Lekki Lagos,alluxuryhomesproperties-al, 3KCKW,False,False,True,0,0,0,2500000,2023-09-08,,rent,Lagos
1bedroomflat,FLAT / APARTMENT FOR RENT,Irone Avenue Aguda Aguda Surulere Lagos,degeniusxpropertyworld, 0KCKW,True,False,False,2,2,3,2000000,2023-09-08,,rent,Lagos
Spacious 2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR RENT,"Phase 1, Lekki Lagos",daniel-uche-properties, 0KCGL,True,True,False,2,2,3,7000000,2023-09-07,2023-09-08,rent,Lagos
Fully Furnished 4 Bedroom Maisonette,4 BEDROOM HOUSE FOR RENT,Osborne Foreshore Estate Ikoyi Lagos,el-loeva-nig-ltd, 9KCGK,False,True,True,4,4,4,10000000,2023-09-07,2023-09-08,rent,Lagos
Relatively New 3 Bedroom In Millennium Estate,3 BEDROOM HOUSE FOR RENT,Millenuim Ups Gbagada Lagos,benjamin-glory, 8KCKV,False,False,False,3,3,4,2500000,2023-09-08,,rent,Lagos
2 Bedroom Flat For Rent In Vi At 4m.,2 BEDROOM FLAT / APARTMENT FOR RENT,Oniru Victoria Island Lagos,future-pride-homes-and-properties-ltd, 6KCKV,False,False,False,2,2,3,4000000,2023-09-08,,rent,Lagos
To Let Executive 2 Bedroom Bungalow At Lasu Isheri,2 BEDROOM HOUSE FOR RENT,Glory Land Estate Lasu Isheri Isheri Egbe Idimu Lagos,wwwgoshensquarecom, 5KCKV,False,False,False,2,2,2,1300000,2023-09-08,,rent,Lagos
5 Bedroom Fully Detached House,5 BEDROOM HOUSE FOR RENT,Agungi Agungi Lekki Lagos,sanrealtor, 2KCKU,False,False,False,5,5,6,7500000,2023-09-08,,rent,Lagos
Beautiful Luxury Serviced 2 Bedroom Apartment,2 BEDROOM HOUSE FOR RENT,Ikate Lekki Lagos,taiwosalamandco, 7KCKT,True,True,False,2,2,3,5000000,2023-09-08,,rent,Lagos
Functioning 21 Rooms Hotel,10 BEDROOM COMMERCIAL PROPERTY FOR RENT,Arometa Junction Eleyele Ibadan Oyo,adegboyega-olujuwon-sowemimo1, 6KCKT,False,False,False,10,10,10,5000000000,2023-09-08,,rent,Oyo
2 Bedroom Apartment With Pent House,2 BEDROOM FLAT / APARTMENT FOR RENT,Lekki Phase 1 Lekki Lagos,timeless-heritage-homes-ltd, 2KCKT,False,True,False,2,2,3,3500000,2023-09-08,,rent,Lagos
For Sale,5 BEDROOM HOUSE FOR RENT,Ikoyi Mojisola Onikoyi Estate Ikoyi Lagos,future-pride-homes-and-properties-ltd, 5KCKS,True,False,False,5,5,0,1000000000,2023-09-08,,rent,Lagos
To Let Decent 2 Bedroom Flat At Ayobo Ipaja,2 BEDROOM HOUSE FOR RENT,Ayobo Ipaja Lagos,frank-nelly, 3KCKS,False,False,False,2,2,2,350000,2023-09-08,,rent,Lagos
Executive 3bed Room Flat With Q Bq,3 BEDROOM CO WORKING SPACE FOR RENT,Close To The Mean Gate Millenuim Ups Gbagada Lagos,future-pride-homes-and-properties-ltd, 1KCKS,False,False,False,3,3,4,4500000,2023-09-08,2023-09-08,rent,Lagos
To Let Executive Room Self Contain At Baruwa Ipaja,FLAT / APARTMENT FOR RENT,Baruwa Ipaja Lagos,anthonia-ezemah, 0KCKS,False,False,False,0,0,0,300000,2023-09-08,,rent,Lagos
Brand New Three Bedroom Flat Available,3 BEDROOM FLAT / APARTMENT FOR RENT,In A Very Secured Estate Opposite Corona School Abijo Ajah Lagos,future-pride-homes-and-properties-ltd, 9KCKR,True,False,False,3,4,4,1200000,2023-09-08,,rent,Lagos
To Let Executive New Miniflat At Ayobo Ipaja,FLAT / APARTMENT FOR RENT,Ayobo Ipaja Lagos,frank-nelly, 8KCKR,True,False,False,0,0,0,350000,2023-09-08,,rent,Lagos
Decent 3bed Room Flat,3 BEDROOM FLAT / APARTMENT FOR RENT,Millennium Estate Millenuim Ups Gbagada Lagos,future-pride-homes-and-properties-ltd, 6KCKR,False,False,False,3,3,4,2500000,2023-09-08,2023-09-08,rent,Lagos
To Let Executive Miniflat At Ayobo Ipaja,FLAT / APARTMENT FOR RENT,Ayobo Ipaja Lagos,olusegun-aremu, 1KCKR,False,False,False,0,0,0,250000,2023-09-08,,rent,Lagos
Newly Built 2 Bedroom Flat With All Room Ensuite.,2 BEDROOM FLAT / APARTMENT FOR RENT,Kilo Marsha Surulere Lagos,effective-homes, 9KCKQ,True,False,False,2,2,2,1500000,2023-09-08,,rent,Lagos
Beautiful 2 Bedroom Apartment Penthouse With Bq.,2 BEDROOM FLAT / APARTMENT FOR RENT,Private Estate 2 Minutes To The Expressway Ikate Lekki Lagos,gmee-properties, 7KCKQ,False,True,False,2,0,0,5000000,2023-09-08,,rent,Lagos
1 Bedroom Flat,1 BEDROOM FLAT / APARTMENT FOR RENT,Ikate Lekki Lagos,vic-tobore-properties, 6KCKQ,True,True,False,1,1,2,2000000,2023-09-08,,rent,Lagos
Lovely Mini Flat,1 BEDROOM FLAT / APARTMENT FOR RENT,Bakare Agungi Lekki Lagos,gmee-properties, 5KCKQ,False,False,False,1,2,2,1700000,2023-09-08,2023-09-08,rent,Lagos
2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,Lekki Phase 1 Lekki Lagos,t-money-properties, 3KCKQ,True,True,False,2,2,3,5000000,2023-09-08,,rent,Lagos
"Furnished Miniflat Apartment, At Koloba, Ishefun Ayobo",1 BEDROOM FLAT / APARTMENT FOR RENT,Koloba Ayobo Ipaja Lagos,joshua-delight, 1KCKQ,True,True,True,1,2,2,450000,2023-09-08,,rent,Lagos
"Partly Furnished Roomself At The Palace, Oniru Lag.",1 BEDROOM FLAT / APARTMENT FOR RENT,"The Palace, Oniru Victoria Island Lagos Oniru Victoria Island Lagos",dawud-ahmed, 2KCKQ,True,False,False,2,2,3,2000000,2023-09-08,,rent,Lagos
Newly Built 2 Bedroom,2 BEDROOM HOUSE FOR RENT,Pyakassa Abuja,jaykay-realty-network, 6KCJP,True,True,False,1,1,1,1800000,2023-09-08,,rent,Abuja
Furnished 3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR RENT,Lekki Phase 1 Lekki Lagos,shepherds-lp1, 0KCKQ,False,True,True,3,3,3,5000000,2023-09-08,2023-09-08,rent,Lagos
Luxury 2 Bedroom Duplex With Bq,2 BEDROOM HOUSE FOR RENT,Naf Valley Estate Asokoro Abuja,mik-cobalt-consult, 7KCKP,False,True,False,2,2,3,5000000,2023-09-08,2023-09-08,rent,Abuja
Clean Standard 3bedrooms Bungalow,3 BEDROOM HOUSE FOR RENT,Queens Estate Gwarinpa Abuja,danadel-solutions, 5KCKP,False,False,False,3,3,4,3500000,2023-09-08,2023-09-08,rent,Abuja
Very Spacious 3bedroom Apartment All Rooms Ensuite,3 BEDROOM HOUSE FOR RENT,Igbo Efon Gra Igbo Efon Lekki Lagos,danadel-solutions, 3KCKP,False,False,False,3,3,4,2200000,2023-09-08,,rent,Lagos
Executive Serviced Roomself Contained With 24hrs Light,1 BEDROOM FLAT / APARTMENT FOR RENT,Christ Avenue Lekki Phase 1 Lekki Lagos,danadel-solutions, 1KCKP,False,False,False,1,1,1,1800000,2023-09-08,,rent,Lagos
Fully Serviced 4 Bedroom Apartment With 2 Toilets,4 BEDROOM COMMERCIAL PROPERTY FOR RENT,Oko Awo Street Off Adetokunbo Ademola Street ( Eko Hotel Road Ademola Adetokunbo Victoria Island Lagos,jay-realtor, 7KCKN,False,False,False,4,2,2,6000000,2023-09-08,,rent,Lagos
2bedroom Flat For Rent In Wuse Zone2,2 BEDROOM HOUSE FOR RENT,Wuse Zone2 Wuse 1 Abuja,golden-scepter-homes-properties, 6KCKN,False,False,False,2,3,3,2500000,2023-09-08,,rent,Abuja
Newly Built 4bedroom Duplex,4 BEDROOM FLAT / APARTMENT FOR RENT,Highland Estate Elewuro Extension Akobo Ibadan Oyo,city-garden-real-estate-ltd, 5KCKN,True,False,False,4,4,5,800000,2023-09-08,,rent,Oyo
Well Decent Room Self Contain Apartment,FLAT / APARTMENT FOR RENT,Jibowu Yaba Lagos,t-money-properties, 4KCKN,False,False,False,0,0,0,350000,2023-09-08,,rent,Lagos
"Nice 2bedroom Flat, At Bada, Ayobo Ipaja Road",2 BEDROOM FLAT / APARTMENT FOR RENT,Ipaja Lagos,propertywire-nigeria-limited, 3KCKN,False,True,True,2,3,3,350000,2023-09-08,,rent,Lagos
Three (3 ) Bedroom Penthouse,3 BEDROOM FLAT / APARTMENT FOR RENT,"Palace Road, Oniru, Vi Lagos State Oniru Victoria Island Lagos",ayoola-n-okesanjo-estate-agency-management, 2KCKN,True,True,False,3,4,4,5500000,2023-09-08,,rent,Lagos
To Let Executive 3 Bedroom Flat At Command Lagos,3 BEDROOM HOUSE FOR RENT,Command Abule Egba Lagos,abafe-sophia, 5KCJP,False,False,False,0,0,0,1800000,2023-09-08,2023-09-08,rent,Lagos
Newly Built 2bedrm Flat Upstair & Down,HOUSE FOR RENT,Randle Avenue Surulere Lagos,quolar-property, 9KCJN,False,False,False,1,1,1,1600000,2023-09-08,,rent,Lagos
3bedroom,1 BEDROOM FLAT / APARTMENT FOR RENT,Glorious Estate Badore Ajah Lagos,abafe-sophia, 5KCJN,False,True,False,4,4,5,350000,2023-09-08,2023-09-08,rent,Lagos
4 Bedroom Duplex,4 BEDROOM HOUSE FOR RENT,Eleganza Gardens At Vgc Bus Vgc Lekki Lagos,rosemond-hills-limited, 4KCJN,False,False,False,1,1,1,5000000,2023-09-08,2023-09-09,rent,Lagos
4bedroom Duplex,1 BEDROOM HOUSE FOR RENT,Canal West Estate Osapa London Lekki Lagos,pecons-realtors, 6KCJM,False,True,False,4,4,5,900000,2023-09-08,,rent,Lagos
Newly Refurbished 4 Bedroom Terrace,4 BEDROOM HOUSE FOR RENT,Ikate Lekki Lagos,abafe-sophia, 4KCJM,True,False,False,4,4,5,7500000,2023-09-08,,rent,Lagos
4 Bedroom Duplex With Bq,4 BEDROOM HOUSE FOR RENT,Parkview Estate Parkview Estate Ikoyi Lagos,olajide-hassan, 3KCJM,False,True,False,1,1,1,10000000,2023-09-08,2023-09-08,rent,Lagos
4bedroom Duplex,1 BEDROOM HOUSE FOR RENT,Golden Palm Estate Benflo Chevron Lekki Lagos,olajide-hassan, 2KCJM,False,True,False,2,0,3,800,2023-09-08,,rent,Lagos
2 Bedroom Flat (tmra),2 BEDROOM FLAT / APARTMENT FOR RENT,Ologolo Lekki Lagos,rosemond-hills-limited, 8KCJL,False,False,False,5,0,6,3000000,2023-09-08,,rent,Lagos
Spacious 5 Bedroom Detached Duplex With Bq,5 BEDROOM HOUSE FOR RENT,Idado Lekki Lagos,olajide-hassan, 6KCJL,False,True,False,4,4,5,6000000,2023-09-08,,rent,Lagos
Newly Renovated 4 Bedroom Terrace,4 BEDROOM HOUSE FOR RENT,Lekki Phase 1 Lekki Lagos,moshood-properties-ltd, 1KCJL,False,True,False,3,0,4,8000000,2023-09-08,,rent,Lagos
3 Bedroom Penthouse,3 BEDROOM FLAT / APARTMENT FOR RENT,Lekki Phase 1 Lekki Lagos,ebuka-of-lagos-plc1, 0KCJL,False,False,False,2,0,0,6500000,2023-09-08,,rent,Lagos
2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,Agbelekale Abule Egba Lagos,moshood-properties-ltd, 9KCJK,True,False,False,4,4,5,500000,2023-09-08,,rent,Lagos
4 Bedroom Detached Duplex For Rent!!!,4 BEDROOM HOUSE FOR RENT,Orchid Lekki Lagos,jay-realtor, 7KCJK,False,False,False,3,0,0,5500000,2023-09-08,,rent,Lagos
3 Bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR RENT,Obawole Ogba Lagos,gem-homes, 1KCJK,False,False,False,3,4,4,1000000,2023-09-08,,rent,Lagos
3bedroom Flat For Rent With Bq In Utako,3 BEDROOM HOUSE FOR RENT,Utako District Utako Abuja,ebuka-of-lagos-plc1, 5KCJJ,False,False,False,2,2,2,3500000,2023-09-08,,rent,Abuja
Lovely & Clean 2 Bedroom With 2 Toilets,2 BEDROOM FLAT / APARTMENT FOR RENT,Bada Ayobo Ipaja Lagos,citymate-integrated, 2KCJJ,False,False,False,5,5,6,350000,2023-09-08,,rent,Lagos
Newly Built 5 Bedroom Detached Duplex For Sale!!!,5 BEDROOM HOUSE FOR RENT,Ikota Lekki Lagos,mark-elimimian, 0KCJJ,False,False,False,4,5,5,120000000,2023-09-08,2023-09-08,rent,Lagos
4 Bedrooms Duplex With Bq,4 BEDROOM HOUSE FOR RENT,Gudu District Apo Abuja,joak-housing, 9KCJH,False,True,True,2,3,3,7000000,2023-09-08,,rent,Abuja
Standard & Fully Furnished 2bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,Guzape Guzape Abuja,degeniusxpropertyworld, 6KCJH,True,False,False,2,2,2,5500000,2023-09-08,2023-09-08,rent,Abuja
Two Bedroom Apartment For Rent,2 BEDROOM HOUSE FOR RENT,Lugbe Abuja,gracealtar-homes1, 5KCJH,True,True,False,2,2,3,1000000,2023-09-08,,rent,Abuja
Standard And Superb Newly Built 2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,Alaka Estate Surulere Lagos,olajide-hassan, 2KCJH,False,False,False,5,5,6,3500000,2023-09-08,,rent,Lagos
Palatial 5 Bedroom Terraced Duplex 3 In A Compound,5 BEDROOM HOUSE FOR RENT,Oniru Victoria Island Lagos,thykop-real-estate-management, 1KCJH,False,True,False,3,0,4,10000000,2023-09-08,,rent,Lagos
Well Maintained 3 Bedroom Flat With Bq,3 BEDROOM FLAT / APARTMENT FOR RENT,Ikate Lekki Lagos,akinpelu-hammed, 0KCJH,False,False,False,3,3,4,4500000,2023-09-08,,rent,Lagos
Decent Spacious En Suites 3bedroom,3 BEDROOM HOUSE FOR RENT,Anthony Village Maryland Lagos,akinpelu-hammed, 9KCJG,False,False,False,3,0,0,2700000,2023-09-08,,rent,Lagos
3 Bedroom Apartment Plus A Room Bq,3 BEDROOM FLAT / APARTMENT FOR RENT,Oniru Victoria Island Lagos,jaydee-properties, 5KCJG,False,False,False,4,0,0,6000000,2023-09-08,,rent,Lagos
4 Bedroom Terrace Duplex Plus A Room Bq,4 BEDROOM HOUSE FOR RENT,Old Ikoyi Bourdillon Ikoyi Lagos,tdos-properties, 4KCJG,True,False,False,2,2,3,15000000,2023-09-08,,rent,Lagos
A Standard And Superb Newly Built 2bedroom,2 BEDROOM FLAT / APARTMENT FOR RENT,Alaka Estate Surulere Lagos,olajide-hassan, 9GUPH,False,False,False,0,0,0,3500000,2023-09-08,,rent,Lagos
Shop In A Mall,COMMERCIAL PROPERTY FOR RENT,Allen Avenue Ikeja Lagos,akinpelu-hammed, 1KCJG,False,True,False,3,0,3,5000000,2023-09-08,,rent,Lagos
Newly Renovated 3 Bedroom Maisonette,3 BEDROOM FLAT / APARTMENT FOR RENT,1004 Victoria Island Lagos,thykop-real-estate-management, 0KCJG,False,False,False,3,0,0,5500000,2023-09-08,,rent,Lagos
3 Bedroom Semi Detach Duplex Plus One Room Bq,3 BEDROOM HOUSE FOR RENT,Oniru Victoria Island Lagos,future-pride-homes-and-properties-ltd, 9KCJF,False,False,False,1,1,2,7000000,2023-09-08,,rent,Lagos
Decent Mini Flat,1 BEDROOM FLAT / APARTMENT FOR RENT,Ikeja Gra Ikeja Lagos,mik-cobalt-consult, 7KCJF,False,False,False,3,3,3,1000000,2023-09-08,,rent,Lagos
4 Bedroom Semi Detached Duplex With Bq,4 BEDROOM HOUSE FOR RENT,Chevron Lekki Lagos,o3-and-associates1, 0KCKN,False,True,False,4,4,5,5000000,2023-09-08,,rent,Lagos
Renovated 4bedrooms 2bedrooms Bq,4 BEDROOM HOUSE FOR RENT,2nd Avenue Gwarinpa Abuja,anthonia-ezemah, 5KCKM,False,False,False,4,3,3,7000000,2023-09-08,2023-09-08,rent,Abuja
4 Bedroom Flat At Ogba Medium 4 Housing Estate Lsdpc,4 BEDROOM FLAT / APARTMENT FOR RENT,"Lsdpc Housing Estate, Ogba Medium 4 Lsdpc Estate Agege Lagos",danrielhomes-finder, 4KCKM,False,False,False,0,0,0,2000000,2023-09-08,2023-09-08,rent,Lagos
Clean And New Self Contain Available,FLAT / APARTMENT FOR RENT,In A Very Secured Estate At The Back Of Blenco Sangotedo Ajah Lagos,abiodun-adebisi1, 0KCKM,False,False,False,2,2,3,800000,2023-09-08,,rent,Lagos
Modern 2 Bedrooms Flat,2 BEDROOM HOUSE FOR RENT,Modupe Junction Oke Ira Ogba Lagos,olakunle-olatunde, 9KCKL,False,False,False,2,2,3,1200000,2023-09-08,,rent,Lagos
Wonderful 2 Bedroom Flat To Let,2 BEDROOM FLAT / APARTMENT FOR RENT,Victory Estate Apple Junction Amuwo Odofin Lagos,abiodun-adebisi1, 7KCKL,True,False,False,2,2,2,2000000,2023-09-08,,rent,Lagos
2bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,Off Itire Road Suruler Itire Surulere Lagos,mo-global-ventures, 5KCKL,False,False,False,3,3,3,800000,2023-09-08,,rent,Lagos
Standard 3 Bedroom Flat To Let,3 BEDROOM FLAT / APARTMENT FOR RENT,Okota Road Okota Lagos,mo-global-ventures, 3KCKL,False,False,False,4,4,4,1000000,2023-09-08,,rent,Lagos
3 Bedroom Apartment,4 BEDROOM FLAT / APARTMENT FOR RENT,Ikota Lekki Lagos,akinpelu-hammed, 4FTKF,True,True,False,2,2,3,3000000,2023-09-08,,rent,Lagos
2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR RENT,Peninsula Estate Ajah Lagos,481, 0FWJH,False,True,False,4,0,0,1500000,2023-09-08,,rent,Lagos
Luxury 3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR RENT,Olokonla Ajah Lagos,olajide-hassan, 6KCJF,True,False,False,1,1,1,1600000,2023-09-08,,rent,Lagos
Newly Built Decent Standard Miniflat At Akoka,1 BEDROOM FLAT / APARTMENT FOR RENT,Off Sf Finbers Road Bariga Akoka Yaba Lagos,teesam-homes-nig-ltd, 4KCJF,False,False,False,3,0,4,700000,2023-09-08,,rent,Lagos
Spacious 3 Bedroom Flat With A Bq,3 BEDROOM FLAT / APARTMENT FOR RENT,Ikate Lekki Lagos,aros-real-estate-consultant, 3KCJF,False,False,False,2,3,3,4500000,2023-09-08,,rent,Lagos
Standard And Very Clean 2 Bedroom Block Of Flat,2 BEDROOM HOUSE FOR RENT,Pyakasa Lugbe Lugbe Abuja,city-garden-real-estate-ltd, 2KCJF,False,False,False,3,3,4,1200000,2023-09-08,2023-09-08,rent,Abuja
Specious 3bedroom Flat For Rent At Ogba,3 BEDROOM FLAT / APARTMENT FOR RENT,Oke Ira Ogba Oke Ira Ogba Lagos,mo-global-ventures, 1KCJF,False,False,False,3,2,2,2000000,2023-09-08,,rent,Lagos
Massive 3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR RENT,Aguda Surulere Lagos,mo-global-ventures, 3GBAN,False,True,False,3,3,4,1400000,2023-09-08,,rent,Lagos
Tastefully Finished 4bedroom Fully Detached Duplex,3 BEDROOM FLAT / APARTMENT FOR RENT,Olokonla Ajah Lagos,mark-elimimian, 6GDWV,True,True,False,3,3,4,1300000,2023-09-08,,rent,Lagos
3 Bedroom Apartment,4 BEDROOM HOUSE FOR RENT,Life Camp Life Camp Abuja,tapere-toyin-alademehin, 0KCJF,True,True,False,4,5,5,7000000,2023-09-08,,rent,Abuja
"Discreption 3bedrom Flats* Wit A Rm Bq, In A Block",3 BEDROOM FLAT / APARTMENT FOR RENT,Allen Avenue Ikeja Lagos,482, 9KCJE,True,False,False,3,3,4,5000000,2023-09-08,,rent,Lagos
One Room In A Beautiful And Secured Estate,1 BEDROOM FLAT / APARTMENT FOR RENT,Oral Estate Lekki Lagos,olajide-hassan, 7KCJE,True,True,False,1,1,1,900,2023-09-08,,rent,Lagos
"Furnished 4 Bedroom Semi Detached Duplex,bq And Charlet",4 BEDROOM HOUSE FOR RENT,Dolphin Estate Ikoyi Lagos,outstanding-real-estate-limited, 4KCJE,False,False,True,4,0,5,15000000,2023-09-08,,rent,Lagos
Newly Built 4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,Vgc Lekki Lagos,pheel-ok-homes-and-properties, 2KCJE,True,True,False,4,4,5,4000000,2023-09-08,,rent,Lagos
3 Bedroom Flat With Bq,3 BEDROOM FLAT / APARTMENT FOR RENT,Off Allen Allen Avenue Ikeja Lagos,purple-ribbon-properties, 0KCJE,False,False,False,3,0,0,5000000,2023-09-08,,rent,Lagos
Luxury 3 Bedroom Apartment With Bq,3 BEDROOM HOUSE FOR RENT,Oniru Victoria Island Lagos,evergreen, 9KCJD,True,True,False,3,3,4,7000000,2023-09-08,,rent,Lagos
"Stylish 3 Bedroom Flat For Rent At Akobo, Ibadan",3 BEDROOM HOUSE FOR RENT,"God's City, Akobo, Ibadan Akobo Ibadan Oyo",jaykay-realty-network, 7KCJD,False,False,False,3,3,4,800000,2023-09-08,,rent,Oyo
4 Bedroom Semi Detached,4 BEDROOM HOUSE FOR RENT,Chevron Lekki Lagos,outstanding-real-estate-limited, 5KCJD,False,False,False,4,4,5,5000000,2023-09-08,2023-09-08,rent,Lagos
Serviced 3 Bedrooms Apartment,3 BEDROOM HOUSE FOR RENT,Lekki Phase 1 Lekki Lagos,akinrinwa-daniel, 4KCJD,False,True,False,3,3,4,6000000,2023-09-08,,rent,Lagos
Newly Built 3 Bedroom,3 BEDROOM FLAT / APARTMENT FOR RENT,Just By Games Village Galadinmawa Abuja,yennix-consult1, 2KCJD,True,True,True,3,3,3,5000,2023-09-08,,rent,Abuja
12 Units Of New Self Contained Rooms,FLAT / APARTMENT FOR RENT,Shomolu Lagos,essential-properties, 0KCJD,False,False,False,0,0,0,5700000,2023-09-08,,rent,Lagos
Newly Built 2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,Awoyaya Ajah Lagos,homplug, 7KCGB,True,False,False,2,2,3,700000,2023-09-07,2023-09-08,rent,Lagos
Newly Built 1 Bedroom Apartment,1 BEDROOM FLAT / APARTMENT FOR RENT,"Pedro Road, Gbagada Lagos",damdave-consults, 6KCGB,True,True,True,1,0,0,900000,2023-09-07,2023-09-08,rent,Lagos
Furnished 4 Bedroom Terraced Duplex,4 BEDROOM HOUSE FOR RENT,Kujore Ogudu Road Ojota Lagos,porch-exclusive-property, 5KCGP,True,True,True,4,4,4,1000000,2023-09-08,,rent,Lagos
Fully Serviced 4 Bedroom Terraced Duplex,4 BEDROOM HOUSE FOR RENT,"Lekki Right, Petrocam Bus Stop, Lekki Lagos",porch-exclusive-property, 4KCGN,True,True,False,3,3,4,8000000,2023-09-07,2023-09-08,rent,Lagos
A Standard Decent Semi Furnished Room Selfcon,FLAT / APARTMENT FOR RENT,Onike Area Onike Yaba Lagos,481, 7KCLW,False,False,True,0,0,0,600000,2023-09-08,,rent,Lagos
Standard Self Serviced Mini Flat Apartment,1 BEDROOM FLAT / APARTMENT FOR RENT,Phase 1 Lekki Phase 1 Lekki Lagos,esquisite-land-and-homes, 5KCLW,False,False,False,1,1,2,2000000,2023-09-08,,rent,Lagos
Self Serviced Four Bedroom Tarrace Duplex,4 BEDROOM FLAT / APARTMENT FOR RENT,"Selem,ikate Ikate Lekki Lagos",esquisite-land-and-homes, 1KCLW,False,False,False,4,4,5,4500000,2023-09-08,,rent,Lagos
Spacious Decent Room Self Contain,FLAT / APARTMENT FOR RENT,Abule Ijesha Yaba Lagos,damdave-consults, 0KCLW,True,True,True,0,0,0,500000,2023-09-08,,rent,Lagos
Water Front Luxury 4 Bedroom Terrace Duplex With Bq,4 BEDROOM HOUSE FOR RENT,Banana Island Ikoyi Lagos,sanrealtor, 7KCLV,True,True,False,4,4,5,40000000,2023-09-08,,rent,Lagos
Spacious En Suites 3bed,3 BEDROOM HOUSE FOR RENT,Alagomeji Yaba Lagos,thykop-real-estate-management, 4KCLV,False,False,False,3,3,4,2500000,2023-09-08,,rent,Lagos
Newly Built 3bedroom Apartment,3 BEDROOM HOUSE FOR RENT,Banana Island Ikoyi Lagos,kniffytherealtor, 2KCLV,False,False,False,3,3,4,25000000,2023-09-08,,rent,Lagos
Shared Apartment In Chevy View Chevron Drive,FLAT / APARTMENT FOR RENT,Chevy View Estate Chevron Lekki Lagos,aford-homes-co, 1KCLV,False,False,False,0,0,0,700000,2023-09-08,,rent,Lagos
Fully Furnished Self Serviced Mini Flat In An Estate,1 BEDROOM FLAT / APARTMENT FOR RENT,Lekki Phase 1 Lekki Lagos,elegant-manors1, 5KCLU,False,False,True,1,1,1,450000,2023-09-08,,rent,Lagos
3 Bedroom Flat In A Neat Environment,3 BEDROOM FLAT / APARTMENT FOR RENT,Lekki County Ikota Lekki Lagos,478, 0KCLT,False,True,False,3,3,4,2800000,2023-09-08,,rent,Lagos
Mini Flat Very Specious,1 BEDROOM FLAT / APARTMENT FOR RENT,At Wosilatu Street Via Pako Aguda Bus Stop Ijesha Surulere Lagos,andy-gods-time-ltd, 6KCLS,False,False,False,1,1,1,700000,2023-09-08,,rent,Lagos
Roomselfcon Apartment,FLAT / APARTMENT FOR RENT,Ago Palace Okota Lagos,onuoha-bright-chika, 4KCLS,False,False,True,0,0,0,400000,2023-09-08,2023-09-08,rent,Lagos
Spacious Mini Flat,1 BEDROOM FLAT / APARTMENT FOR RENT,Oworonshoki Gbagada Lagos,thykop-real-estate-management, 2KCLS,False,False,False,1,1,2,600000,2023-09-08,,rent,Lagos
Specious 3 Bedroom Apartmentin A Secured Estate,3 BEDROOM FLAT / APARTMENT FOR RENT,Victoria Island Lagos,rofama-homes-properties, 1KCLS,False,False,True,3,3,4,7000000,2023-09-08,,rent,Lagos
Mini Flat Upstairs,1 BEDROOM FLAT / APARTMENT FOR RENT,Efutide Street Off Brown Road Aguda Surulere Lagos,andy-gods-time-ltd, 8KCLR,False,False,False,1,1,1,600000,2023-09-08,,rent,Lagos
Furnished 2 Bedroom Apartment & Excellent Facilities,2 BEDROOM FLAT / APARTMENT FOR RENT,Osapa London Lekki Lagos,478, 7KCLR,False,True,True,2,2,3,3200000,2023-09-08,,rent,Lagos
4 Bedroom Detached Bungalow,4 BEDROOM HOUSE FOR RENT,Northern Foreshore Chevron Lekki Lagos,el-loeva-nig-ltd, 5KCLR,False,False,False,4,4,5,4000000,2023-09-08,,rent,Lagos
Spacious Two Bedroom Flat Apartment,2 BEDROOM FLAT / APARTMENT FOR RENT,Greenville Estate Badore Ajah Lagos,esquisite-land-and-homes, 4KCLR,False,False,False,2,2,3,950000,2023-09-08,,rent,Lagos
