title,categories,address,agent,PIDs,newly_built,serviced,furnished,beds,baths,toilets,price_₦,date_posted,date_updated,type,state
Beautiful Luxury 5 Bedroom Detached Duplex With Bq,5 BEDROOM HOUSE FOR SALE,Lekki County Homes Ikota Lekki Lagos,andy-gods-time-ltd, 6KCLP,False,False,False,0,0,0,1800000000,2023-09-08,,for sale,Lagos
Warehouse / Industry Property,COMMERCIAL PROPERTY FOR SALE,Directly Facing The Expressway Ojota Lagos,sanrealtor, 2KCLP,True,True,False,4,4,5,130000000,2023-09-08,,for sale,Lagos
Beautiful Luxury 4 Bedroom Semi Detached Duplex With Bq,4 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,394, 8KCLN,True,False,False,3,3,4,65000000,2023-09-08,2023-09-08,for sale,Lagos
3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR SALE,Ologolo Lekki Lagos,sanrealtor, 7KCLN,True,True,False,5,5,6,100000000,2023-09-08,,for sale,Lagos
Beautiful Luxury 5 Bedroom Detached Duplex With Bq,5 BEDROOM HOUSE FOR SALE,Lekki County Homes Ikota Lekki Lagos,394, 7KCLM,True,False,False,4,4,5,70000000,2023-09-08,2023-09-08,for sale,Lagos
4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SALE,Vgc Lekki Lagos,sanrealtor, 3KCLM,True,True,False,5,5,6,105000000,2023-09-08,,for sale,Lagos
Beautiful Luxury 5 Bedroom Semi Detached Duplex With Bq,5 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,394, 8KCLL,True,False,False,4,4,5,140000000,2023-09-08,2023-09-08,for sale,Lagos
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,sanrealtor, 7KCLL,True,True,False,4,4,5,85000000,2023-09-08,,for sale,Lagos
Beautiful Luxury 4 Bedroom Semi Detached Duplex With Bq,4 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,394, 5KCLL,True,False,False,5,5,6,350000000,2023-09-08,2023-09-08,for sale,Lagos
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,sanrealtor, 4KCLL,True,True,False,4,4,5,68000000,2023-09-08,,for sale,Lagos
Beautiful Luxury Serviced 4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Chevron Toll Gate Orchid Road Chevron Lekki Lagos,sanrealtor, 2KCLL,True,True,False,5,5,6,270000000,2023-09-08,2023-09-08,for sale,Lagos
6units Of 3bedroom Flat With Mini Flat Bq,3 BEDROOM HOUSE FOR SALE,Ajayi Road Ogba Lagos,394, 7KCLQ,True,False,False,4,4,5,100000000,2023-09-08,,for sale,Lagos
4 Bed Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,alvinacle_properties, 6KCLQ,False,False,False,0,0,0,85000000,2023-09-08,2023-09-08,for sale,Lagos
400 Sqm Of Land Selling,LAND FOR SALE,Lekki Lagos,ase-ltd, 4KCLQ,False,False,False,0,0,0,70000000,2023-09-08,,for sale,Lagos
Beautiful Luxury 4 Bedroom Semi Detached Duplex With Bq,4 BEDROOM HOUSE FOR SALE,Ajah Lagos,394, 9KCLK,True,True,False,4,4,5,75000000,2023-09-08,,for sale,Lagos
5 Bedroom Detached House,5 BEDROOM HOUSE FOR SALE,Osapa London Lekki Lagos,bunmi-awoyemi, 4KCLG,True,False,False,5,5,6,550000000,2023-09-08,2023-09-08,for sale,Lagos
4 Bedroom Duplex In Surulere,4 BEDROOM HOUSE FOR SALE,"Colindale Estate, Surulere Lagos Surulere Lagos",purple-ribbon-properties, 3KCLG,True,True,True,4,5,4,80000000,2023-09-08,,for sale,Lagos
Contemporary Luxury 4 Bedroom Detached Duplex With Bq,4 BEDROOM HOUSE FOR SALE,Ajah Lagos,projects-and-services, 2KCLG,True,True,False,4,4,5,70000000,2023-09-08,,for sale,Lagos
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,conhoiceshomes, 4KBWU,True,True,True,4,4,5,160000000,2023-09-05,2023-09-08,for sale,Lagos
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Orchid Lekki Lagos,fesgomar-integrated-services, 2KBWU,True,True,True,4,4,5,70000000,2023-09-05,2023-09-08,for sale,Lagos
4 Bedroom Fully Detached Duplex,4 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,conhoiceshomes, 0KBWU,False,False,False,4,4,5,105000000,2023-09-05,2023-09-08,for sale,Lagos
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,bunmi-awoyemi, 8KBWT,False,False,False,0,0,0,78000000,2023-09-05,2023-09-08,for sale,Lagos
5 Bedroom Detached Duplex With Bq,5 BEDROOM HOUSE FOR SALE,"Igbodu Express, Epe Epe Lagos",bunmi-awoyemi, 1KCLG,False,False,False,0,0,0,1100000,2023-09-08,2023-09-08,for sale,Lagos
Affordable Land With Instant Allocation,LAND FOR SALE,"Igbodu Express, Epe Epe Lagos",sanrealtor, 0KCLG,True,True,False,5,5,6,1100000,2023-09-08,2023-09-08,for sale,Lagos
Affordable Land In Epe,LAND FOR SALE,Ajah Lagos,essential-property1, 8KCLF,False,False,False,4,5,5,155000000,2023-09-08,,for sale,Lagos
Contemporary Luxury 5 Bedroom Detached Duplex With Bq,5 BEDROOM HOUSE FOR SALE,22 Off Adeniyi Jones Estate Adeniyi Jones Ikeja Lagos,kniffytherealtor, 7KCLF,False,False,False,5,5,6,60000000,2023-09-08,,for sale,Lagos
A Very Massive Spacious And Clean 4 Bedroom Flat,4 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,394, 6KCLF,True,False,False,4,4,5,175000000,2023-09-08,,for sale,Lagos
Newly Built 5bedroom Semi Detached Duplex With Bq,5 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,nobility-estates1, 4KCLF,False,False,False,0,0,0,230000000,2023-09-08,2023-09-08,for sale,Lagos
Newly Built 4 Bedroom Detached House,4 BEDROOM HOUSE FOR SALE,Kilo Marsha Surulere Lagos,imc-homes, 1KCLF,True,True,False,0,0,0,100000000,2023-09-08,,for sale,Lagos
Block Of 4flats Of 3bedroom On Corner Piece,HOUSE FOR SALE,"Along Akinde Road, Opposite Pinnacle Grammar School, Alakuko Abule Egba Lagos",imc-homes, 9KCLE,True,True,False,0,0,0,18000000,2023-09-08,,for sale,Lagos
Newly Built 2 Bedroom Flat,HOUSE FOR SALE,"Along Akinde Road, Opposite Pinnacle Grammar School, Alakuko Abule Egba Lagos",kiakiahomes-property, 5KCLE,False,True,False,4,4,4,22000000,2023-09-08,,for sale,Lagos
Newly Built 3 Bedroom Flat,HOUSE FOR SALE,Onike Onike Yaba Lagos,topworld-properties, 7KCLD,False,False,False,0,0,0,95000000,2023-09-08,,for sale,Lagos
Block Of 4flat,4 BEDROOM HOUSE FOR SALE,Magodo Gra Phase 2 Magodo Gra Phase 2 Kosofe Ikosi Lagos,478, 3KCLD,True,False,False,3,3,4,350000000,2023-09-08,,for sale,Lagos
5 Bedroom Fully Detached Duplex,HOUSE FOR SALE,"Osborne, Ikoyi Osborne Foreshore Estate Ikoyi Lagos",prime-queen-of-properties, 1KCLC,False,False,False,0,0,0,400000000,2023-09-08,,for sale,Lagos
