title,categories,address,agent,PIDs,newly_built,serviced,furnished,beds,baths,toilets,price_₦_yearly,date_posted,date_updated,state
3 Bedroom Penthouse,3 BEDROOM FLAT / APARTMENT FOR RENT,Eko Atlantic Victoria Island Lagos,prince-ademola-osinuga, 1GRGK,False,True,False,3,3,4,30000000,2023-08-10,not updated,Lagos
Luxury 3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR RENT,Victoria Island Lagos,prince-ademola-osinuga, 2GRGA,False,True,False,3,3,4,12000000,2023-08-10,not updated,Lagos
Luxury 3 Bedroom Terraced Duplex,3 BEDROOM HOUSE FOR RENT,"Banana Island Estate, Ikoyi Lagos",prince-ademola-osinuga, 0GRDZ,False,True,True,3,3,4,25000000,2023-08-10,not updated,Lagos
Luxury 3 Bedroom Maisonette,3 BEDROOM HOUSE FOR RENT,Banana Island Ikoyi Lagos,prince-ademola-osinuga, 6GNWM,False,True,False,3,3,4,17500000,2023-08-10,not updated,Lagos
3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR RENT,Banana Island Ikoyi Lagos,prince-ademola-osinuga, 9GQZT,False,True,True,3,3,4,15000000,2023-08-10,not updated,Lagos
3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR RENT,Victoria Island Lagos,prince-ademola-osinuga, 0GRRU,False,True,False,3,3,4,15000000,2023-08-10,not updated,Lagos
Luxury 3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR RENT,Ikoyi Lagos,prince-ademola-osinuga, 4GRTZ,False,True,False,3,3,4,15000000,2023-08-10,not updated,Lagos
3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR RENT,Ikoyi Lagos,prince-ademola-osinuga, 2GZAW,False,True,False,3,2,3,10000000,2023-08-10,not updated,Lagos
Self Serviced 5 Bedroom Fully Detached Duplex,5 BEDROOM COMMERCIAL PROPERTY FOR RENT,Victoria Island Lagos,460, 2JYHL,False,False,False,5,5,6,35000000,2023-08-10,not updated,Lagos
8 Bedroom House,8 BEDROOM HOUSE FOR RENT,Parkview Estate Ikoyi Lagos,prince-ademola-osinuga, 9HAZA,False,False,False,8,7,8,15000000,2023-08-10,not updated,Lagos
4 Bedroom Terraced Duplex,4 BEDROOM HOUSE FOR RENT,Banana Island Ikoyi Lagos,prince-ademola-osinuga, 8HBNL,False,True,False,4,4,5,13000000,2023-08-10,not updated,Lagos
Luxury 4 Bedroom Apartment,4 BEDROOM FLAT / APARTMENT FOR RENT,Old Ikoyi Lagos,prince-ademola-osinuga, 0HBYY,False,True,True,4,4,5,15000000,2023-08-10,not updated,Lagos
1 Bedroom Apartment,1 BEDROOM FLAT / APARTMENT FOR RENT,Victoria Island Lagos,prince-ademola-osinuga, 6HDYK,False,True,True,1,0,0,3500000,2023-08-10,not updated,Lagos
4 Bedroom Apartment,4 BEDROOM FLAT / APARTMENT FOR RENT,Ikoyi Lagos,prince-ademola-osinuga, 2HERQ,False,True,False,4,4,5,13000000,2023-08-10,not updated,Lagos
4 Bedroom Terraced House,4 BEDROOM HOUSE FOR RENT,Old Ikoyi Lagos,prince-ademola-osinuga, 9HFWE,False,True,False,4,3,4,18000000,2023-08-10,not updated,Lagos
4 Bedroom Terraced House,4 BEDROOM HOUSE FOR RENT,Old Ikoyi Lagos,prince-ademola-osinuga, 5HFXU,False,False,False,4,4,5,16000000,2023-08-10,not updated,Lagos
Furnished 4 Bedroom Terrace Duplex With Bq,4 BEDROOM HOUSE FOR RENT,Old Ikoyi Ikoyi Lagos,prince-ademola-osinuga, 8HFZB,False,True,True,4,3,4,22000000,2023-08-10,not updated,Lagos
