title,categories,address,agent,PIDs,newly_built,serviced,furnished,beds,baths,toilets,price_₦_yearly,date_posted,date_updated,state
6 Bedroom Detached Duplex,6 BEDROOM HOUSE FOR RENT,Akala Express Ibadan Oyo,taiwosalamandco, 4JYMM,False,False,True,6,6,6,2000000,2023-08-11,2023-08-12,Oyo
5bedrooms Semi Detached Duplex With 2rooms Bq,5 BEDROOM HOUSE FOR RENT,"Ligali Ayorinde Street, Vi Ligali Ayorinde Victoria Island Lagos",provident-homes-realtor, 8JYQL,False,False,False,5,5,5,25000000,2023-08-12,2023-08-13,Lagos
Exquisitely Newly Built 2bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,Whitesand Behind 6th Avenue Festac Town Bucknor Isolo Lagos,excel-express-properties, 7JYQL,True,False,False,2,3,3,800000,2023-08-12,,Lagos
Spacious Studio Apartment,1 BEDROOM FLAT / APARTMENT FOR RENT,Off Admirathy Way Lekki Phase 1 Lekki Phase 1 Lekki Lagos,provident-homes-realtor, 6JYQL,False,False,False,1,1,1,1350000,2023-08-12,,Lagos
4bedroom Semi Detached Duplex With 1room Bq,4 BEDROOM HOUSE FOR RENT,Off Christ Avenue Street. Lekki Phase 1 Lekki Lagos,provident-homes-realtor, 4JYQL,False,False,False,4,4,4,11000000,2023-08-12,,Lagos
10 Bedrooms Fully Detached Duplex,HOUSE FOR RENT,"Ajoke Estate, Fagba Ojokoro Fagba Agege Lagos",topworld-properties, 0JYQL,False,False,False,0,0,0,7000000,2023-08-12,2023-08-13,Lagos
3 Bedroom Flat,3 BEDROOM HOUSE FOR RENT,Very Close To Blenco Ado Ajah Lagos,davidproperty, 8JYQK,True,False,False,3,3,3,2000000,2023-08-12,,Lagos
2 Bed Room Flat,2 BEDROOM HOUSE FOR RENT,Very Close To Blenco Supermarket Ado Ajah Lagos,davidproperty, 7JYQK,True,False,False,2,2,3,1700000,2023-08-12,2023-08-12,Lagos
Room And Palour,1 BEDROOM FLAT / APARTMENT FOR RENT,Very Close To Blenco Supermarket Ado Ajah Lagos,davidproperty, 5JYQK,False,False,False,1,2,2,1200000,2023-08-12,2023-08-12,Lagos
New Mini Flat Before Revival Church Akala Express.,1 BEDROOM FLAT / APARTMENT FOR RENT,Revival Area Akala Express Ibadan Oyo,mafik75-homes-ltd, 1JYQK,True,False,False,1,0,0,650000,2023-08-12,2023-08-12,Oyo
New 2 Bdrm Flat Before Revival Church Akala Express.,2 BEDROOM FLAT / APARTMENT FOR RENT,Revival Area Akala Express Ibadan Oyo,mafik75-homes-ltd, 0JYQK,True,False,False,2,0,0,800000,2023-08-12,2023-08-12,Oyo
New 3 Bdrm Flat Before Revival Church Akala Express.,3 BEDROOM FLAT / APARTMENT FOR RENT,Revival Area Akala Express Ibadan Oyo,mafik75-homes-ltd, 8JYQJ,True,False,False,3,0,0,1000000,2023-08-12,2023-08-12,Oyo
Lovely 2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,Idado Estate Idado Lekki Lagos,vic-tobore-properties, 7JYQJ,False,False,False,2,3,3,2700000,2023-08-12,2023-08-12,Lagos
"Newly Built 2bedroom Duplex@ Agboyi Estate/ogudu, 1.7m",2 BEDROOM HOUSE FOR RENT,Agboy Estate/ogudu Ogudu Ogudu Lagos,pdan-property-lagos, 6JYQJ,True,False,False,2,2,3,1700000,2023-08-12,2023-08-13,Lagos
Furnished,5 BEDROOM HOUSE FOR RENT,Osapa London Lekki Lagos,edumicheal-miriam-egondu1, 5JYQJ,False,False,False,5,5,6,8500000,2023-08-12,2023-08-13,Lagos
Spacious Mini Flat@olorunda Estate Ketu/ogudu. 1.2m,1 BEDROOM HOUSE FOR RENT,Ketu Lagos,pdan-property-lagos, 4JYQJ,False,False,False,1,1,2,1200000,2023-08-12,2023-08-13,Lagos
Spacious Shop Space For Rent,COMMERCIAL PROPERTY FOR RENT,Ologolo Lekki Lagos,d_agencyproperties, 3JYQJ,True,False,False,0,0,0,3000000,2023-08-12,,Lagos
Lovely Spacious 2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,Dillon Agungi Lekki Lagos,vic-tobore-properties, 2JYQJ,False,False,False,2,3,3,2500000,2023-08-12,2023-08-12,Lagos
