title,categories,address,agent,PIDs,newly_built,serviced,furnished,beds,baths,toilets,price_₦_yearly,date_posted,date_updated,state
4 Bedroom Semi Detached Duplex,4 BEDROOM FLAT / APARTMENT FOR RENT,"Vgc Extension, Lekki Lagos",nellyanipropertiesltd, 6JGUQ,False,False,False,0,0,0,900000,2023-04-14,2023-07-31 00:00:00,Lagos
Luxury Self Contained,FLAT / APARTMENT FOR RENT,"Vgc Extension, Lekki Lagos",uduak-edet3, 0JGUQ,False,False,False,0,0,0,1500000,2023-04-14,2023-07-31 00:00:00,Lagos
Master Bedroom Self Contained,FLAT / APARTMENT FOR RENT,"Ajao Street, Off Ogunlana Drive, Surulere Lagos",peveth-global-services1, 9JGUP,True,False,False,4,4,5,750000,2023-04-14,2023-08-09 00:00:00,Lagos
Room Self Contain,FLAT / APARTMENT FOR RENT,"Shelter Afrique Estate, Uyo Akwa Ibom",agboola, 6JGUL,False,False,False,4,3,4,4000000,2023-04-14,2023-08-11 00:00:00,Ibom
Luxury Semi Detached Duplex,HOUSE FOR RENT,Sangotedo Ajah Lagos,rentalhub_island, 1JGUL,False,False,False,4,0,0,900000,2023-04-14,2023-08-09 00:00:00,Lagos
2 Bedroom Apartment,FLAT / APARTMENT FOR RENT,Off Admiralty Way Lekki Phase 1 Lekki Lagos,fesgomar-integrated-services, 2JJZU,False,True,False,0,0,0,7000000,2023-05-01,2023-08-13 00:00:00,Lagos
Spacious Self Contain,4 BEDROOM COMMERCIAL PROPERTY FOR RENT,Lekki Phase 1 Lekki Lagos,fesgomar-integrated-services, 1JJZS,False,False,False,0,0,0,8000000,2023-05-01,2023-08-09 00:00:00,Lagos
4 Bedroom Detached Duplex With Bq,4 BEDROOM HOUSE FOR RENT,Omole Phase 1 Ojodu Lagos,godson-homes, 4JJZP,False,False,False,0,0,0,1200000,2023-05-01,2023-08-09 00:00:00,Lagos
4 Bedroom Terrace Duplex With Bq,FLAT / APARTMENT FOR RENT,Awolowo Way Ikeja Lagos,godson-homes, 0JKDF,False,False,False,0,0,0,20000000,2023-05-02,2023-07-31 00:00:00,Lagos
Standard Miniflat,COMMERCIAL PROPERTY FOR RENT,Victoria Island Lagos,olajide-hassan, 0JKDD,False,False,False,0,0,1,40000000,2023-05-02,2023-08-13 00:00:00,Lagos
400 Sqm Open Space,COMMERCIAL PROPERTY FOR RENT,"Off Opebi Road, Ikeja Lagos",best-choice-estate-agent, 5JKDC,False,False,False,5,0,6,1000000,2023-05-02,2023-08-13 00:00:00,Lagos
Restaurant Space,COMMERCIAL PROPERTY FOR RENT,Banana Island Ikoyi Lagos,oputa-jay-apartments, 8JKDB,False,False,False,0,0,0,150000,2023-05-02,2023-08-09 00:00:00,Lagos
Office Space,5 BEDROOM HOUSE FOR RENT,"Off Luth Road, Mushin Lagos",conault, 0JKDA,True,False,False,0,0,0,350000,2023-05-02,2023-08-09 00:00:00,Lagos
Luxury 5 Bedroom Detached Duplex + 2 Bq,FLAT / APARTMENT FOR RENT,Jabi Abuja,uduak-edet3, 8JGSZ,False,False,False,0,0,0,900000,2023-04-14,2023-08-09 00:00:00,Abuja
Brand New Self Contain,FLAT / APARTMENT FOR RENT,"Phase 1, Lekki Lagos",baystaraffordablehomes, 4JGSX,False,False,False,0,0,0,3800000,2023-04-14,2023-08-09 00:00:00,Lagos
Showroom Space,COMMERCIAL PROPERTY FOR RENT,Majek Sangotedo Lagos,west-coast-multi-concept-international-services, 5JGSQ,False,False,True,4,4,5,500000,2023-04-14,2023-08-09 00:00:00,Lagos
Top Floor Shop,FLAT / APARTMENT FOR RENT,Majek Sangotedo Lagos,oputa-jay-apartments, 8JJVS,False,False,False,4,4,5,5000000,2023-04-30,2023-08-13 00:00:00,Lagos
Self Contain,FLAT / APARTMENT FOR RENT,Ologolo Lekki Lagos,fesgomar-integrated-services, 9JJVR,True,False,False,5,5,6,5000000,2023-04-30,2023-08-09 00:00:00,Lagos
3 Bedroom Apartment,4 BEDROOM FLAT / APARTMENT FOR RENT,Chevron Lekki Lagos,bash, 4JJVK,False,False,False,0,0,0,25000000,2023-04-30,2023-08-09 00:00:00,Lagos
4 Bedroom Semi Detached Duplex,5 BEDROOM HOUSE FOR RENT,Maitama Abuja,bash, 2JJVE,False,False,False,0,0,1,700000,2023-04-30,2023-07-31 00:00:00,Abuja
5 Bedroom Detached Duplex,FLAT / APARTMENT FOR RENT,Oregun Ikeja Lagos,uduak-edet3, 9JJUX,True,True,False,0,0,0,1800000,2023-04-29,2023-08-09 00:00:00,Lagos
Room Self Contain,FLAT / APARTMENT FOR RENT,Sangotedo Ajah Lagos,agboola, 9JHXS,True,False,False,0,0,0,7500000,2023-04-23,2023-08-09 00:00:00,Lagos
3 Bedroom Flat,COMMERCIAL PROPERTY FOR RENT,Wuse 2 Abuja,christyworldcom-ltd-rc7018645, 5JHXM,False,False,False,0,0,0,4500000,2023-04-23,2023-08-09 00:00:00,Abuja
Commercial Property For Rent At Wuse,FLAT / APARTMENT FOR RENT,Chevron Lekki Lagos,156, 6JHXF,True,False,False,0,0,0,4000000000,2023-04-23,2023-08-13 00:00:00,Lagos
2 Bedroom Apartment,LAND FOR RENT,Bourdillon Ikoyi Lagos,olayinka-sobambi, 1JHXA,True,False,False,0,0,0,10000,2023-04-23,2023-08-09 00:00:00,Lagos
3000sqm Land,COMMERCIAL PROPERTY FOR RENT,Apapa Oshodi Expressway Isolo Osolo Way Isolo Lagos,olat, 8JGMF,False,False,False,0,0,0,700000,2023-04-12,2023-08-09 00:00:00,Lagos
Tank Farm Along Apapa Oshodi Express Way Isolo,COMMERCIAL PROPERTY FOR RENT,"Ondo Street By Herbert Macaulay Way, Ebute Metta Yaba Lagos",favour-properties-group, 4JGLT,False,False,False,0,0,0,1150000,2023-04-12,2023-08-09 00:00:00,Lagos
A Newly Built Shop,FLAT / APARTMENT FOR RENT,Badore Ajah Lagos,gods-gift-properties-and-investment-a-subsidiary-of-douglas-ifada-associates, 1JGLN,False,False,False,5,5,6,1000000,2023-04-12,2023-08-09 00:00:00,Lagos
Newly Built Mini Flat,FLAT / APARTMENT FOR RENT,Aguda Surulere Lagos,city-garden-real-estate-ltd, 9JGLM,False,False,False,0,0,0,1000000,2023-04-12,2023-08-13 00:00:00,Lagos
2 Bedroom Flat,HOUSE FOR RENT,Akobo Opposite Mitemore Ibadan Oyo,vic-tobore-properties, 0JJZP,False,False,False,0,0,0,18000000,2023-05-01,2023-08-09 00:00:00,Oyo
Newly Built Of 3 Bedroom Flat,5 BEDROOM HOUSE FOR RENT,"At A.j Marinho Drive, Ademola Adetokunbo Victoria Island Lagos",360-degrees, 8JJZN,True,True,False,0,0,0,400000,2023-05-01,2023-07-31 00:00:00,Lagos
Newly Built 3 Bedroom Flat,FLAT / APARTMENT FOR RENT,Onike Yaba Lagos,360-degrees, 2JJZD,True,True,False,0,0,0,1500000,2023-05-01,2023-08-09 00:00:00,Lagos
Commercial 5 Bedroom Detached Duplex With Bq,FLAT / APARTMENT FOR RENT,Dillon Agungi Lekki Lagos,freedom-homes-properties, 1JJZB,False,False,False,0,0,0,1000000,2023-05-01,2023-08-09 00:00:00,Lagos
Room Self Contained,FLAT / APARTMENT FOR RENT,Idado Estate Lekki Lagos,oputa-jay-apartments, 9JJZA,False,False,False,0,0,0,900000,2023-05-01,2023-08-09 00:00:00,Lagos
Lovely Mini Flat,FLAT / APARTMENT FOR RENT,Idado Estate Lekki Lagos,davidproperty, 6JHWN,True,False,False,0,0,1,9000000,2023-04-23,2023-08-09 00:00:00,Lagos
Room Upstairs In A Shared Duplex,4 BEDROOM HOUSE FOR RENT,Oniru Victoria Island Lagos,olat, 1JHWG,True,False,False,0,0,0,700000,2023-04-23,2023-08-09 00:00:00,Lagos
Room In A Shared Duplex,FLAT / APARTMENT FOR RENT,Kado By Navy Quarters Kado Abuja,ile-eru-bestway-properties-global-consultants, 8JHWF,False,False,False,0,0,0,6000000,2023-04-23,2023-08-09 00:00:00,Abuja
4 Bedroom Massionatte With Bq,COMMERCIAL PROPERTY FOR RENT,Lekki Phase 1 Lekki Lagos,julietjonathan, 5JGLM,False,False,False,0,0,0,13000000,2023-04-12,2023-08-13 00:00:00,Lagos
Renovated Selfcon,COMMERCIAL PROPERTY FOR RENT,Ado Road Ajah Lagos,maselhomesnproperties, 2JGLM,False,False,False,0,0,0,350000,2023-04-12,2023-08-09 00:00:00,Lagos
Big Commercial Property,HOUSE FOR RENT,Idi Ape Olorunda Road Akobo Ojurin Ibadan Oyo,just-properties-co, 6JGLK,True,True,False,0,0,0,2000000,2023-04-12,2023-08-09 00:00:00,Oyo
Big Commercial Property,FLAT / APARTMENT FOR RENT,Iyana Ipaja Ipaja Lagos,just-properties-co, 4JGLK,False,False,False,0,0,0,500000,2023-04-12,2023-08-09 00:00:00,Lagos
4 Bedroom Duplex,FLAT / APARTMENT FOR RENT,Badore Ajah Lagos,conault, 3JGLK,False,False,False,0,0,0,600000,2023-04-12,2023-08-09 00:00:00,Lagos
Room Self Contained,COMMERCIAL PROPERTY FOR RENT,Abraham Adesanya Estate Ajah Lagos,just-properties-co, 6JGLH,False,False,False,0,0,0,550000,2023-04-12,2023-08-09 00:00:00,Lagos
Newly Built Hairdressing Salon,FLAT / APARTMENT FOR RENT,Bucknor Isolo Lagos,uduak-edet3, 7JGLG,True,False,False,0,0,0,550000,2023-04-12,2023-08-09 00:00:00,Lagos
Mini Flat,FLAT / APARTMENT FOR RENT,Jakande Estate Isolo Lagos,uduak-edet3, 1JGLG,False,False,False,0,0,0,12000000,2023-04-12,2023-08-09 00:00:00,Lagos
Mini Flat,COMMERCIAL PROPERTY FOR RENT,Lekki Phase 1 Lekki Lagos,victor-property-ventures, 7JGLD,False,False,True,0,0,0,450000,2023-04-12,2023-07-31 00:00:00,Lagos
Commercial 5 Bedroom Detached Duplex,FLAT / APARTMENT FOR RENT,Ijegun Ikotun Igando Lagos,jmo-global, 3JGSQ,True,False,False,0,0,0,450000,2023-04-14,2023-08-09 00:00:00,Lagos
Standard Mini Flat,COMMERCIAL PROPERTY FOR RENT,Ogba Bus Stop Ogba Lagos,maselhomesnproperties, 3JGSC,False,False,False,0,0,0,1500000,2023-04-13,2023-08-09 00:00:00,Lagos
Standard Shop Space,FLAT / APARTMENT FOR RENT,Sangotedo Ajah Lagos,david-peace, 9JGSB,True,False,False,0,0,0,550000,2023-04-13,2023-08-09 00:00:00,Lagos
A Standard Shared Apartment,FLAT / APARTMENT FOR RENT,Ikate Lekki Lagos,david-peace, 8JGSB,True,True,False,0,0,0,5000000,2023-04-13,2023-08-09 00:00:00,Lagos
Studio Apartment,COMMERCIAL PROPERTY FOR RENT,Ikota Lekki Lagos,first-homes1, 3JGSA,True,True,False,0,1,1,1600000,2023-04-13,2023-08-09 00:00:00,Lagos
Shop Space,FLAT / APARTMENT FOR RENT,Oniru Victoria Island Lagos,freedom-homes-properties, 1JGSA,False,False,False,0,0,0,50000,2023-04-13,2023-08-09 00:00:00,Lagos
Luxury Mini Flat,COMMERCIAL PROPERTY FOR RENT,Oniru Victoria Island Lagos,best-choice-estate-agent, 0JJNR,False,False,False,0,0,0,60000,2023-04-28,2023-08-13 00:00:00,Lagos
New Shop Space Measuring 71 Sqm,COMMERCIAL PROPERTY FOR RENT,"Platinum Estate, Badore Ajah Lagos",best-choice-estate-agent, 6JJNQ,True,False,False,0,0,0,400000,2023-04-28,2023-08-13 00:00:00,Lagos
New Shop Space Measuring 71 Sqm,FLAT / APARTMENT FOR RENT,Ado Ajah Lagos,360-degrees, 7JJNL,False,False,False,0,0,0,300000,2023-04-27,2023-07-31 00:00:00,Lagos
A Standard 1 Room Self Contained,COMMERCIAL PROPERTY FOR RENT,Berger Ojodu Lagos,tos-property-services, 0JJNK,True,False,False,0,0,0,5000000,2023-04-27,2023-08-09 00:00:00,Lagos
Big Shop Space,COMMERCIAL PROPERTY FOR RENT,"Morrison Crescent, Oregun Ikeja Lagos",essential-property1, 4JJMZ,False,False,False,0,3,3,25000,2023-04-27,2023-08-09 00:00:00,Lagos
"2,020 Sqm 2 Bay Warehouse With Office Space",FLAT / APARTMENT FOR RENT,"Off Morroco Road, Shomolu Lagos",best-choice-estate-agent, 6JJMY,False,False,False,0,0,0,600000,2023-04-27,2023-08-09 00:00:00,Lagos
Modern Self Contain,FLAT / APARTMENT FOR RENT,"Off Fola Agoro, Yaba Lagos",alexandra-property-s, 6JJUW,False,False,False,0,0,0,250000,2023-04-29,2023-08-11 00:00:00,Lagos
Portable Self Contain,FLAT / APARTMENT FOR RENT,Oregun Ikeja Lagos,provident-homes-realtor, 5JJUS,False,False,False,0,0,0,500000,2023-04-29,2023-08-13 00:00:00,Lagos
