title,categories,address,agent,PIDs,newly_built,serviced,furnished,beds,baths,toilets,price_₦,date_posted,date_updated,state
Waterfront 3 Bedroom Apartment,3 BEDROOM HOUSE FOR SALE,Osborne Foreshore Estate Ikoyi Lagos,estatelinkpropertiescom, 6JYDD,False,False,False,3,3,3,170000000,2023-08-09,2023-08-12,Lagos
Waterfront 3 Bedroom Apartment,3 BEDROOM HOUSE FOR SALE,Osborne Foreshore Estate Ikoyi Lagos,estatelinkpropertiescom, 4JYDD,True,True,True,3,3,3,180000000,2023-08-09,2023-08-12,Lagos
Land Measuring 790sqm,LAND FOR SALE,Kolapo Ishola Gra Akobo Ibadan Oyo,wnl, 2JYEY,False,False,False,4,0,0,75000000,2023-08-10,2023-08-12,Oyo
Newly Built 5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Orchid Road Chevron Lekki Lagos,estatelinkpropertiescom, 6JXYC,False,False,False,5,5,6,89990000,2023-08-08,2023-08-12,Lagos
3 Bedroom Apartment With Bq,3 BEDROOM HOUSE FOR SALE,Sabo Yaba Lagos,ujayspropertiy, 9JXYB,True,False,False,3,3,4,75000000,2023-08-08,2023-08-12,Lagos
5 Bedroom Semi Detached Duplex,5 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,estatelinkpropertiescom, 1JXYB,True,True,True,5,6,5,105000000,2023-08-08,2023-08-12,Lagos
Furnished 5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Aare Oluyole Estate Ibadan Oyo,purple-ribbon-properties, 9JXYX,False,False,False,4,0,0,160000000,2023-08-08,2023-08-12,Oyo
5 Bedroom Fully Detached Duplex,5 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,purple-ribbon-properties, 8JXYW,False,False,False,0,0,0,125000000,2023-08-08,2023-08-12,Lagos
6 Bedroom Fully Detached Duplex,6 BEDROOM HOUSE FOR SALE,Victoria Island Lagos,emma-visio-enterprises, 1JYJM,False,False,False,5,0,0,500000000,2023-08-10,2023-08-12,Lagos
Plot Of Land,LAND FOR SALE,"Beside Augustine University,ilara, Epe/kings Court Epe Lagos",pecons-realtors, 1JYJL,False,False,False,0,0,0,7000000,2023-08-10,2023-08-12,Lagos
6 Units Of Mini Flat&3 Bedroom Flat,LAND FOR SALE,Off Oyadiran Estate Sabo Yaba Lagos,citymate-integrated, 9JYJH,False,False,False,0,0,0,85000000,2023-08-10,2023-08-12,Lagos
Land Measuring 650sqm,LAND FOR SALE,Chevron Lekki Lagos,superite-africa, 7JYAG,False,False,False,0,0,0,160000000,2023-08-08,2023-08-12,Lagos
4 Bedroom Terrace Duplex With Bq,4 BEDROOM HOUSE FOR SALE,Guzape Abuja,zircon-realty-global, 5JXXE,False,False,False,0,0,0,900000000,2023-08-08,2023-08-12,Abuja
5 Bedroom Duplex With Bq,5 BEDROOM HOUSE FOR SALE,Lekki Phase 1 Lekki Lagos,christyworldcom-ltd-rc7018645, 2JXWT,True,False,False,0,0,0,450000000,2023-08-07,2023-08-12,Lagos
Two Plots Of Land,LAND FOR SALE,Beckley Estate Off Agbe Road Ojokoro Abule Egba Lagos,ovat-peter, 8JXWK,False,False,False,3,3,4,80000000,2023-08-07,2023-08-12,Lagos
2 Bedroom Bungalow,2 BEDROOM HOUSE FOR SALE,Awobo Estate Igbogbo Ikorodu Lagos,quolar-property, 5JYJE,False,False,False,3,3,4,4800000,2023-08-10,2023-08-12,Lagos
Newly Built 4 Bedroom Terrace Duplex With Bq,4 BEDROOM HOUSE FOR SALE,Lekki Ado Ajah Lagos,chirealtor, 4JYHY,False,False,False,2,2,0,135000000,2023-08-10,2023-08-12,Lagos
Warehouse And Office,HOUSE FOR SALE,Ikotun Igando Lagos,temidayo-faro, 7JYGC,True,True,False,0,0,0,60000000,2023-08-10,2023-08-12,Lagos
5 Bedroom Detached Duplex With Bq,4 BEDROOM HOUSE FOR SALE,Vgc Lekki Lagos,chirealtor, 1JYHS,True,False,False,5,5,6,250000000,2023-08-10,2023-08-12,Lagos
617sqm Of Land,LAND FOR SALE,Ikota Gra Extension Lekki Lagos,geoponts-properties1, 8JYFT,False,False,False,0,0,0,85000000,2023-08-10,2023-08-12,Lagos
Block Of 4 Flats,HOUSE FOR SALE,"Igbonla, Epe Lagos",wwwolakrealtiescomabule-estate, 6JYCV,False,False,False,4,0,0,3450000,2023-08-09,2023-08-12,Lagos
Newly Built 3 Bedroom Terrace Duplex,3 BEDROOM HOUSE FOR SALE,Phase 2 Lekki Gardens Estate Ajah Lagos,shelternestrealty, 7JYGV,True,False,False,4,4,5,600000000,2023-08-10,2023-08-12,Lagos
Newly Built 4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,future-pride-homes-and-properties-ltd, 3JYGV,False,True,False,3,3,4,110000000,2023-08-10,2023-08-12,Lagos
3 Units Of Self Contained And 1 Bedroom Flat,5 BEDROOM HOUSE FOR SALE,Abegyi Estate Bwari Abuja,461, 2JYHP,False,False,False,0,0,0,5000000,2023-08-10,2023-08-12,Abuja
"Land Of About 1,677sqm",LAND FOR SALE,"Oron Road, Uyo Akwa Ibom",conault, 1JYFM,False,False,False,0,0,0,70000000,2023-08-10,2023-08-12,Ibom
2 Storey Building,COMMERCIAL PROPERTY FOR SALE,"University Road, Akoka Yaba Lagos",gudness-reality-ventures10, 4JYCP,True,True,False,2,2,3,420000000,2023-08-09,2023-08-12,Lagos
Residential Land,LAND FOR SALE,"Abijo, Close To Hockley Estate Lekki Lagos",dervy-property-consult, 2JYCF,True,False,False,5,6,6,72000000,2023-08-09,2023-08-12,Lagos
2 Bedroom Terrace Duplex With Bq,2 BEDROOM FLAT / APARTMENT FOR SALE,Banana Island Ikoyi Lagos,agboola, 1JYGU,False,False,False,5,5,6,110000000,2023-08-10,2023-08-12,Lagos
Luxury 5 Bedroom Detached Duplex,HOUSE FOR SALE,Ojuore Sango Ota Ado Odo Ota Ogun,jilkson-investments-nig-ltd, 6JYCM,False,False,False,4,4,5,25000000,2023-08-09,2023-08-12,Ogun
4 Bedroom Semi Detached Duplex With Bq,4 BEDROOM HOUSE FOR SALE,Orchid Chevron Lekki Lagos,urcheberry, 1JYGK,True,False,False,4,3,3,85000000,2023-08-10,2023-08-12,Lagos
6 Bedroom Detached Duplex With Bq,6 BEDROOM HOUSE FOR SALE,"Megamound Estate, Lekky County Homes Ikota Lekki Lagos",ben-solomon, 0JYKD,False,False,False,0,0,0,290000000,2023-08-11,2023-08-12,Lagos
Lovely 4 Bedrm Flat @ 1004 Estate,4 BEDROOM FLAT / APARTMENT FOR SALE,"@ 1004 Estate Victoria Island, Lagos. 1004 Victoria Island Lagos",abimbola-dada, 6JYKC,True,True,False,0,0,0,110000000,2023-08-11,2023-08-12,Lagos
6 Units Of 3 Bedroom Flat,HOUSE FOR SALE,Gilmore Jahi Abuja,gracealtar-homes1, 6JYKB,True,False,False,0,0,0,500000000,2023-08-11,2023-08-12,Abuja
Newly Built 4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SALE,Behind Shoprite Shangisha Kosofe Ikosi Lagos,damdave-consults, 6JYHD,False,False,False,4,5,5,220000000,2023-08-10,2023-08-12,Lagos
3 Bedroom Apartment With Bq,3 BEDROOM FLAT / APARTMENT FOR SALE,Old Ikoyi Ikoyi Lagos,shedrack-luka, 2JYKB,False,False,False,5,5,6,350000000,2023-08-11,2023-08-12,Lagos
Land With C Of O For Sale,LAND FOR SALE,Harmony Estate Extension Ll Off G U Ake Road Port Harcourt Aba Expressway Port Harcourt Rivers,ademeso-olalekan-ademola, 5JYKA,True,False,False,4,4,5,60000000,2023-08-11,2023-08-12,Rivers
