title,categories,address,agent,PIDs,newly_built,serviced,furnished,beds,baths,toilets,price_₦_yearly,date_posted,date_updated,state
Newly Built 1 Room Self Contain,FLAT / APARTMENT FOR RENT,Yaba Lagos,tos-property-services, 3JMEN,False,False,False,0,0,0,600000,2023-05-18,2023-07-31 00:00:00,Lagos
6 Plots Of Land,LAND FOR RENT,Along Lekki Expressway Lekki Lagos,kim-thompson-, 0JMEM,False,False,False,0,0,0,20000000,2023-05-18,2023-07-27 00:00:00,Lagos
Shop,COMMERCIAL PROPERTY FOR RENT,Agungi Lekki Lagos,thefortress-properties, 0JMEL,False,False,False,0,0,0,650000,2023-05-18,2023-07-24 00:00:00,Lagos
Newly Built Spacious 1 Room Self Contained,FLAT / APARTMENT FOR RENT,Yaba Lagos,tos-property-services, 9JMEK,True,False,False,0,0,0,700000,2023-05-18,2023-07-31 00:00:00,Lagos
6 Units Of Office Spaces,COMMERCIAL PROPERTY FOR RENT,Garki 2 Abuja,asa-properties, 6JMEK,False,False,False,0,0,0,13000000,2023-05-18,2023-07-28 00:00:00,Abuja
Office Space,COMMERCIAL PROPERTY FOR RENT,Idowu Taylor Victoria Island Lagos,autumn-green-ltd1, 5JMEG,False,False,False,0,0,0,150000,2023-05-18,2023-08-02 00:00:00,Lagos
Office Space,COMMERCIAL PROPERTY FOR RENT,Adeola Odeku Victoria Island Lagos,autumn-green-ltd1, 6JMED,True,True,False,0,0,0,500,2023-05-18,2023-08-02 00:00:00,Lagos
4 Bedroom Terraced Duplex With Bq,FLAT / APARTMENT FOR RENT,Asokoro Abuja,gerarland-venture-limited, 3JMDZ,False,False,False,0,0,0,15000000,2023-05-18,2023-06-26 00:00:00,Abuja
Warehouse,COMMERCIAL PROPERTY FOR RENT,Oba Akran Ikeja Lagos,maselhomesnproperties, 1JMDW,False,False,False,0,0,0,24000,2023-05-18,2023-08-02 00:00:00,Lagos
5 Bedroom Detached Duplex,HOUSE FOR RENT,Victoria Island Lagos,autumn-green-ltd1, 8JMDU,False,False,False,0,7,8,20000000,2023-05-18,2023-08-02 00:00:00,Lagos
4 Bedroom Semi Detached Duplex,HOUSE FOR RENT,Ogombo Ajah Lagos,autumn-green-ltd1, 4JMDU,True,False,False,0,0,6,7500000,2023-05-18,2023-08-02 00:00:00,Lagos
Mini Flat,FLAT / APARTMENT FOR RENT,Surulere Lagos,longi-properties, 4JMDQ,False,False,False,0,0,0,800000,2023-05-18,2023-07-28 00:00:00,Lagos
Self Contain,FLAT / APARTMENT FOR RENT,Abule Oja Yaba Lagos,damdave-consults, 2JMDQ,True,True,True,0,0,0,1000000,2023-05-18,2023-06-30 00:00:00,Lagos
4 Bedroom Duplex,FLAT / APARTMENT FOR RENT,Ologolo Lekki Lagos,longi-properties, 3JMDP,False,False,False,0,0,0,5000000,2023-05-18,2023-07-28 00:00:00,Lagos
2 Bedroom Apartment,FLAT / APARTMENT FOR RENT,Bode Thomas Surulere Lagos,longi-properties, 2JMDP,False,False,False,0,0,0,3000000,2023-05-18,2023-07-28 00:00:00,Lagos
Newly Built 4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,Vgc Lekki Lagos,azeez-ijadunola-aderibigbe-and-company, 4JMDG,False,False,False,4,4,5,5000000,2023-05-18,2023-06-26 00:00:00,Lagos
Newly Built 4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,Off Bourdillion Road Ikoyi Lagos,azeez-ijadunola-aderibigbe-and-company, 5JMDD,False,True,False,4,4,5,15000000,2023-05-18,2023-06-26 00:00:00,Lagos
4 Bedroom Apartment,4 BEDROOM FLAT / APARTMENT FOR RENT,Ikoyi Lagos,prince-ademola-osinuga, 8GCDF,False,True,False,4,4,5,20000000,2023-05-18,2023-07-31 00:00:00,Lagos
4 Bedroom Apartment,4 BEDROOM FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,prince-ademola-osinuga, 0GDME,False,True,False,4,4,5,10000000,2023-05-18,2023-07-31 00:00:00,Lagos
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR RENT,Old Ikoyi Ikoyi Lagos,prince-ademola-osinuga, 2GDMG,False,True,False,5,4,5,17000000,2023-05-18,2023-07-31 00:00:00,Lagos
5 Bedroom Semi Detached Duplex,5 BEDROOM HOUSE FOR RENT,Old Ikoyi Ikoyi Lagos,prince-ademola-osinuga, 8GGDQ,False,True,False,5,5,6,15000000,2023-05-18,2023-07-31 00:00:00,Lagos
4 Bedroom Terraced Duplex,4 BEDROOM HOUSE FOR RENT,Ikoyi Lagos,prince-ademola-osinuga, 3GGLH,False,True,False,4,4,5,11000000,2023-05-18,2023-07-31 00:00:00,Lagos
4 Bedroom Apartment,4 BEDROOM FLAT / APARTMENT FOR RENT,Banana Island Ikoyi Lagos,prince-ademola-osinuga, 3GGPL,False,True,False,4,4,5,23000000,2023-05-18,2023-07-31 00:00:00,Lagos
4 Bedroom Apartment,4 BEDROOM FLAT / APARTMENT FOR RENT,Banana Island Ikoyi Lagos,prince-ademola-osinuga, 9GHYT,False,True,False,4,4,5,23000000,2023-05-18,2023-07-31 00:00:00,Lagos
4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR RENT,Lekki Lagos,city-garden-real-estate-ltd, 3JMCZ,False,False,False,4,0,0,7000000,2023-05-18,2023-07-31 00:00:00,Lagos
4 Bedroom Apartment,4 BEDROOM FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,prince-ademola-osinuga, 2HCDM,False,True,False,4,3,4,15000000,2023-05-18,2023-07-31 00:00:00,Lagos
4 Bedroom Apartment,4 BEDROOM FLAT / APARTMENT FOR RENT,Banana Island Ikoyi Lagos,prince-ademola-osinuga, 4HKRP,False,False,False,4,4,5,25000000,2023-05-18,2023-07-31 00:00:00,Lagos
4 Bedroom Apartment,4 BEDROOM FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,prince-ademola-osinuga, 0HXFY,False,True,False,4,4,5,10000000,2023-05-18,2023-07-31 00:00:00,Lagos
