title,categories,address,agent,PIDs,newly_built,serviced,furnished,beds,baths,toilets,price_₦,date_posted,date_updated,state,type
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SHORTLET,Asokoro Abuja,ayo-kay, 4JARA,False,False,False,4,5,0,175000,2023-02-17,2023-08-13,Abuja,short let
Tastefully Furnished 4bedrooms Paragon,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikate Ikate Lekki Lagos,higherground-realty, 9FGPK,False,True,True,4,4,4,31025000,2021-09-01,2023-08-13,Lagos,short let
Lovely 4 Bedroom Semi Detached Duplex,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,"Apo Village, Apo Abuja",persisgrace-nigeria-limited, 2JWRJ,False,False,True,4,4,4,62780000,2023-07-30,2023-08-13,Abuja,short let
4 Bedroom Duplex,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Lekki Lagos,persisgrace-nigeria-limited, 2JXGS,False,False,True,4,4,4,78475000,2023-08-03,2023-08-13,Lagos,short let
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SHORTLET,Mowe Obafemi Owode Ogun,ifeoluwa-abraham, 8JWXG,False,True,True,4,4,5,54750000,2023-08-01,2023-08-13,Ogun,short let
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Amuwo Odofin Lagos,nicholas-nwaikwu, 7JWLR,False,False,False,4,0,0,170000,2023-07-28,2023-08-13,Lagos,short let
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Lekki Phase 1 Lekki Phase 1 Lekki Lagos,higherground-realty, 0GRFM,False,False,True,4,4,4,47450000,2022-05-26,2023-08-13,Lagos,short let
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SHORTLET,Atlantis Estate Ologolo Lekki Lagos,higherground-realty, 3JBKJ,False,True,True,4,4,4,47450000,2023-02-25,2023-08-13,Lagos,short let
Furnished 4 Bedroom Apartment,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikate Lekki Lagos,higherground-realty, 7HBVD,False,True,True,4,4,4,31025000,2022-08-12,2023-08-13,Lagos,short let
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SHORTLET,Oniru Victoria Island Lagos,higherground-realty, 6HDTA,False,True,True,4,4,4,51100000,2022-08-26,2023-08-13,Lagos,short let
Luxurious 4 Bedroom Apartment,4 BEDROOM HOUSE FOR SHORTLET,Ikate Lekki Lagos,tira-crest-properties, 4JWXY,False,True,True,4,0,0,51100000,2023-08-01,2023-08-13,Lagos,short let
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SHORTLET,Bourdillon Ikoyi Lagos,gcs-homes-ltd, 6JDET,True,True,True,4,4,5,80300000,2023-03-14,2023-08-13,Lagos,short let
Newly Built Of 4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Oluyole Oluyole Estate Ibadan Oyo,adegoroye-aa, 1FKTS,False,True,True,4,4,5,60225000,2021-09-26,2023-08-13,Oyo,short let
Luxury Services Apartment Of 4 Bedroom Duplex,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Oluyole Oluyole Estate Ibadan Oyo,adegoroye-aa, 3ESGM,False,True,True,4,4,5,65700000,2021-05-20,2023-08-13,Oyo,short let
Furnished 4bedroom Duplex With Ps5,4 BEDROOM HOUSE FOR SHORTLET,Oniru Oniru Victoria Island Lagos,higherground-realty, 0HDZE,False,True,True,4,4,4,51100000,2022-08-29,2023-08-13,Lagos,short let
Furnished 4bedrooms,4 BEDROOM HOUSE FOR SHORTLET,Osapa London Osapa London Lekki Lagos,higherground-realty, 4FZGZ,False,True,True,4,4,4,34675000,2022-01-31,2023-08-13,Lagos,short let
Tastefully 4bedrooms Furnished,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikoyi Old Ikoyi Ikoyi Lagos,higherground-realty, 8FHBW,False,True,True,4,4,4,43800000,2021-09-05,2023-08-13,Lagos,short let
4 Bedroom Flat,4 BEDROOM HOUSE FOR SHORTLET,Chevron Lekki Lagos,330, 4JEWG,True,False,False,4,5,4,29200000,2023-03-29,2023-08-13,Lagos,short let
Furnished 4 Bedroom Duplex With Free Wi Fi,4 BEDROOM HOUSE FOR SHORTLET,Badore Ajah Lagos,eniji-international-limited, 9HJMX,False,True,True,4,4,4,36500000,2022-10-04,2023-08-13,Lagos,short let
Party House Allows Dj & Big Compound,4 BEDROOM HOUSE FOR SHORTLET,Eleganza Gardens Opposite Vgc Vgc Lekki Lagos,lovette, 1FGZL,False,True,True,4,4,5,54750000,2021-09-03,2023-08-13,Lagos,short let
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Ikota Royal Estate Ikota Lekki Lagos,beyond-limits-ventures, K2105,False,False,False,4,0,0,20075000,2017-11-14,2023-08-13,Lagos,short let
4 Bedroom Terraced Duplex,4 BEDROOM HOUSE FOR SHORTLET,Ikate Lekki Lagos,ojr, 7JWZB,False,True,True,4,5,5,51100000,2023-08-01,2023-08-13,Lagos,short let
Luxury 4 Bedroom Terrace Apartment,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Orchid Lekki Phase 1 Lekki Lagos,star_homes, 9JMPW,False,False,True,4,4,5,40150000,2023-05-22,2023-08-13,Lagos,short let
Executive 4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Adeniyi Jones Ikeja Lagos,pheel-ok-homes-and-properties, 6JWRR,False,False,True,4,4,5,58400000,2023-07-30,2023-08-13,Lagos,short let
4 Bedroom Apartment,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikate Lekki Lagos,higherground-realty, 0JXRG,False,True,True,4,4,4,43800000,2023-08-06,2023-08-13,Lagos,short let
4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SHORTLET,Ikate Lekki Lagos,higherground-realty, 2HWJT,False,True,True,4,4,4,51100000,2023-01-12,2023-08-13,Lagos,short let
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Ikate Lekki Lagos,higherground-realty, 9HXMM,False,True,True,4,4,4,43800000,2023-01-20,2023-08-13,Lagos,short let
4 Bedroom Self Compound Fully Detached Duplex Comes With Snooker Board,4 BEDROOM HOUSE FOR SHORTLET,Agungi Agungi Lekki Lagos,higherground-realty, 1GBTY,False,False,True,4,4,4,36500000,2022-02-17,2023-08-13,Lagos,short let
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Walton Gate Estate Sangotedo Ajah Lagos,mayhomes1, 6JCJH,False,True,True,4,4,5,32850000,2023-03-07,2023-08-13,Lagos,short let
4 Bedroom Bungalow & Self Compound With 2 Sitting Room With Lovely Furnitures In A Serene Neighborhood,4 BEDROOM HOUSE FOR SHORTLET,Akala Estate Akobo Ibadan Oyo,adegoroye-aa, 2FMFU,False,False,False,4,4,5,36500000,2021-10-09,2023-08-13,Oyo,short let
4 Bedrooms Semi Detached Duplex,4 BEDROOM HOUSE FOR SHORTLET,Parkview Estate Ikoyi Lagos,ase-ltd, 9JUCW,True,False,False,4,4,5,80300000,2023-07-12,2023-08-13,Lagos,short let
2 Unit Of 4bedroom Apartment,4 BEDROOM HOUSE FOR SHORTLET,Oniru Victoria Island Lagos,kim-thompson-, 4HFUG,True,True,True,4,4,5,51100000,2022-09-02,2023-08-13,Lagos,short let
Luxury 4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Admiralty Way Lekki Phase 1 Lekki Lagos,first-homes-and-properties, 9JBKV,False,True,True,4,4,5,54750000,2022-09-12,2023-08-13,Lagos,short let
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Osapa London Lekki Lagos,mls-properties1, 4JWNW,False,False,True,4,4,4,65700000,2023-07-29,2023-08-13,Lagos,short let
Furnished 4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Chevron Chevron Lekki Lagos,shelters-apartment, 9EMHL,True,True,False,4,4,5,47450000,2021-03-30,2023-08-13,Lagos,short let
4 Bedroom Apartment,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Mabushi Abuja,property-magnate, 0JLRM,True,False,False,4,4,5,65700000,2023-05-13,2023-08-13,Abuja,short let
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SHORTLET,Lekki Phase 1 Lekki Lagos,franklin15, 3JLTZ,True,True,True,4,4,5,51100000,2023-05-15,2023-08-13,Lagos,short let
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Lekki Lagos,property-magnate, 7HUBP,True,True,True,4,5,5,109500000,2022-12-20,2023-08-13,Lagos,short let
Decorated 4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SHORTLET,Victoria Bay 3 Estate Ikate Lekki Lagos,cruzi-global-resort-ltd, 2GFXN,False,True,True,4,4,4,43800000,2022-03-19,2023-08-13,Lagos,short let
4 Bedroom Semi Detached Duplex House,4 BEDROOM HOUSE FOR SHORTLET,Life Camp Abuja,ezekiel-bassey, 8FGNF,False,False,True,4,4,1,32850000,2021-09-01,2023-08-13,Abuja,short let
4 Bedroom Terrace Duplex For Short Let,4 BEDROOM HOUSE FOR SHORTLET,Asokoro Abuja,higherground-realty, 0JBUE,False,True,True,4,4,4,73000000,2023-03-02,2023-08-13,Abuja,short let
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SHORTLET,Magodo Shangisha Magodo Gra Phase 2 Kosofe Ikosi Lagos,bright-innocent1, 1GXLV,False,True,True,4,4,5,34675000,2022-07-08,2023-08-13,Lagos,short let
Cozy 4 Bedroom Apartment,4 BEDROOM HOUSE FOR SHORTLET,Oral Estate Lekki Lagos,bright-innocent1, 2HANU,False,True,True,4,4,5,36500000,2022-08-03,2023-08-13,Lagos,short let
Newly Built 4 Bedroom Duplex,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikate Lekki Lagos,higherground-realty, 6HDLE,False,True,True,4,4,4,47450000,2022-08-24,2023-08-13,Lagos,short let
"Luxuriously Furnished Detached 4 Bedroom Duplex Comes With Snooker Board, Table Tennis And Ps5",4 BEDROOM HOUSE FOR SHORTLET,Ikota Villa Gra Lekki Lagos,higherground-realty, 6JCEP,False,True,True,4,4,4,32850000,2023-03-06,2023-08-13,Lagos,short let
Brand New 4 Bedroom Apartment,4 BEDROOM HOUSE FOR SHORTLET,Agungi Agungi Lekki Lagos,higherground-realty, 7FZJZ,False,True,True,4,4,4,49275000,2022-01-31,2023-08-13,Lagos,short let
Exquisitely Furnished 4bedrooms,4 BEDROOM HOUSE FOR SHORTLET,Alfa Beach Lekki Phase 2 Lekki Lagos,outstanding-real-estate-limited, 3FWFC,False,True,True,4,4,4,29200000,2022-01-05,2023-08-13,Lagos,short let
"Top Notch 4 Bedrooms Duplex, We Accept Party Put Different Price",4 BEDROOM HOUSE FOR SHORTLET,Vgc Lekki Lagos,bright-innocent1, 7ESCY,True,True,True,4,4,5,51100000,2023-07-28,2023-08-13,Lagos,short let
4 Bedroom Duplex,9 BEDROOM HOUSE FOR SHORTLET,"Off Ikeja Medical Center, Allen Avenue Ikeja Lagos",king-palace-consulting, 4BZXW,False,False,False,9,10,10,29200000,2023-07-18,2023-08-13,Lagos,short let
1 Bedroom Apartment,8 BEDROOM HOUSE FOR SHORTLET,Lekki Lagos,eniji, 5JXKM,False,True,True,7,7,8,20075000,2023-05-23,2023-08-13,Lagos,short let
4 Bedroom Duplex,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikate Lekki Lagos,persisgrace-nigeria-limited, 3JXGU,False,False,True,4,4,4,47450000,2023-07-28,2023-08-13,Lagos,short let
4 Bedroom Duplex,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikate Lekki Lagos,lovette, 0HZBK,True,True,True,4,3,4,43800000,2023-08-03,2023-08-13,Lagos,short let
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Vgc Lekki Lagos,kennedy-otunku, 1HUPM,True,True,True,4,4,5,54750000,2023-02-03,2023-08-13,Lagos,short let
4 Bedroom Fully Detach Duplex,4 BEDROOM HOUSE FOR SHORTLET,No 4a Harmony Close Agungi East Estate Opposite Domino Pizza Agungi Agungi Lekki Lagos,kennedy-otunku, 6EZZU,False,False,True,4,4,5,36500000,2022-07-13,2023-08-13,Lagos,short let
6 Bedroom Mansion,6 BEDROOM HOUSE FOR SHORTLET,Vgc Vgc Lekki Lagos,higherground-realty, 4FWPK,False,True,True,6,6,6,54750000,2022-01-08,2023-08-13,Lagos,short let
4 Bedrooms Apartment,4 BEDROOM HOUSE FOR SHORTLET,Ikeja Lagos,higherground-realty, 0HWYW,True,True,True,4,4,4,58400000,2023-01-16,2023-08-13,Lagos,short let
4 Bedroom Luxury Apartment,4 BEDROOM HOUSE FOR SHORTLET,Oniru Victoria Island Lagos,best-idea-realty1, 1HHKV,True,True,True,4,4,5,56575000,2022-09-26,2023-08-13,Lagos,short let
4 Bedroom Maisonette (fully Serviced),4 BEDROOM HOUSE FOR SHORTLET,Gerard Road Ikoyi Lagos,kennedy-otunku, 9HTNX,True,True,True,4,4,5,65700000,2022-12-16,2023-08-13,Lagos,short let
4 Bedroom Duplex,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Osapa London Lekki Lagos,beyond-limits-ventures, 8GEZL,False,False,True,4,4,5,47450000,2022-12-08,2023-08-13,Lagos,short let
Luxury 4 Bedroom Apartment,4 BEDROOM HOUSE FOR SHORTLET,Lekki Phase 1 Lekki Lagos,bluehedgerealtors, 6FWNK,True,False,True,4,4,5,54750000,2023-05-22,2023-08-13,Lagos,short let
Newly Built Shortlet Apartment,4 BEDROOM HOUSE FOR SHORTLET,"Off Adelabu Road, Surulere Adelabu Surulere Lagos",provident-homes-realtor, 6HGJK,False,True,True,4,4,5,32850000,2022-01-07,2023-08-13,Lagos,short let
Spacious 4bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Ogudu Gra Ogudu Gra Ogudu Lagos,lambe-and-eboigbe-properties, 8HDRZ,False,False,False,4,3,3,43800000,2022-01-06,2023-08-13,Lagos,short let
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Parkview Estate Ikoyi Lagos,eniji-international-limited, 0HWQR,False,True,True,6,6,6,80300000,2023-08-08,2023-08-13,Lagos,short let
Furnished 6 Bedroom Duplex,6 BEDROOM HOUSE FOR SHORTLET,Badore Ajah Lagos,grandporchhomes, 4HJND,False,True,True,3,3,4,43800000,2022-10-04,2023-08-13,Lagos,short let
Exquisitely 5 Bedroom Detached House,5 BEDROOM HOUSE FOR SHORTLET,Agungi Lekki Lagos,kim-thompson-, 4HNJP,True,True,True,5,5,6,73000000,2022-11-03,2023-08-13,Lagos,short let
5 Bedroom Apartment,5 BEDROOM HOUSE FOR SHORTLET,Lekki Lagos,kim-thompson-, 2JWJU,False,False,True,5,5,5,93075000,2023-07-28,2023-08-13,Lagos,short let
Luxury 5 Bedroom Duplex,5 BEDROOM HOUSE FOR SHORTLET,Elegushi Ikate Lekki Lagos,distinct-pragmatic-limited, 7JEGG,True,True,True,4,4,5,73000000,2023-03-23,2023-08-13,Lagos,short let
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SHORTLET,Megamound Estate Ikota Lekki Lagos,beyond-limits-ventures, 9HXFG,False,False,False,5,5,6,58400000,2023-01-18,2023-08-13,Lagos,short let
5 Bedroom Detached Duplex,5 BEDROOM FLAT / APARTMENT FOR SHORTLET, Ifako Ogba Ogba Lagos,higherground-realty, N5134,False,True,True,5,5,5,2190000000,2018-01-04,2023-08-13,Lagos,short let
5 Bedroom Pent House Apartment,5 BEDROOM FLAT / APARTMENT FOR SHORTLET,Oniru Victoria Island Lagos,west-coast-multi-concept-international-services, 8HDQY,True,True,True,5,5,5,49275000,2022-08-26,2023-08-13,Lagos,short let
Luxurious 1 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Kemi Adefuke Close Iyana Ipaja Ipaja Lagos,star_homes, 6HARU,True,True,True,3,3,4,10950000,2022-08-03,2023-08-13,Lagos,short let
3 Bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Bode Thomas Surulere Lagos,beyond-limits-ventures, 4JWTW,False,True,True,3,3,3,32850000,2023-07-31,2023-08-13,Lagos,short let
3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Jahi Abuja,homeyrealtyteam, 3JLRB,False,True,True,3,4,4,47450000,2023-05-13,2023-08-13,Abuja,short let
Furnished 3 Bedroom Flat,3 BEDROOM HOUSE FOR SHORTLET,Olomoore Housing Estate Abeokuta Ogun,realtor-azeez, 3HLXE,True,False,False,3,3,3,29200000,2022-10-22,2023-08-13,Ogun,short let
New Luxury 3 Bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Brains And Hammers City Estate Life Camp Abuja,eniji-international-limited, 1GLCL,True,True,True,3,3,4,25550000,2022-04-20,2023-08-13,Abuja,short let
3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Victoria Island Lagos,ellestarhomesltdcom, 4JHZK,False,True,True,3,4,4,76650000,2023-04-24,2023-08-13,Lagos,short let
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Ikota Royal Estate Ikota Lekki Lagos,beyond-limits-ventures, K2107,False,False,False,4,0,0,18250000,2017-11-14,2023-08-13,Lagos,short let
Luxury 4 Bedroom Maisonette,4 BEDROOM HOUSE FOR SHORTLET,Bourdillon Ikoyi Lagos,ase-ltd, 5HRVN,False,True,True,4,4,5,73000000,2022-12-01,2023-08-13,Lagos,short let
Tastefully 4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Lekki Phase 1 Lekki Lagos,higherground-realty, 5HGBT,False,True,True,4,4,4,43800000,2022-09-15,2023-08-13,Lagos,short let
4bedrooms Luxuriously Furnished,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Banana Island Banana Island Ikoyi Lagos,higherground-realty, 2FBDS,False,True,True,4,4,4,98550000,2021-07-21,2023-08-13,Lagos,short let
4 Bedroom Flat,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,1004 Victoria Island Lagos,higherground-realty, 1JWKP,False,True,True,4,4,4,7500000,2023-07-28,2023-08-13,Lagos,short let
Luxury 5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SHORTLET,Parkview Estate Ikoyi Lagos,zete-limited, 7JWRK,False,False,True,5,5,6,91250000,2023-07-30,2023-08-13,Lagos,short let
5 Bedroom Terrace Duplex,5 BEDROOM HOUSE FOR SHORTLET,Oladipo Diya Way Gaduwa Abuja,eniji-international-limited, 6HXZQ,False,False,False,5,5,6,65700000,2023-01-25,2023-08-13,Abuja,short let
Furnished 5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SHORTLET,Apo Abuja,future-pride-homes-and-properties-ltd, 7JQFM,True,True,True,5,5,6,98550000,2023-06-12,2023-08-13,Abuja,short let
5 Bedroom Duplex Penthouse,5 BEDROOM HOUSE FOR SHORTLET,Salvation Road Opebi Ikeja Lagos,eniji-international-limited, 3HMUQ,True,True,True,4,4,5,31025000,2022-10-30,2023-08-13,Lagos,short let
4 Bedroom Apartment,4 BEDROOM HOUSE FOR SHORTLET,Life Camp Abuja,eniji-international-limited, 9JWUV,False,True,True,4,4,5,36500000,2023-07-31,2023-08-13,Abuja,short let
Furnish 4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Vgc Vgc Lekki Lagos,entrust-properties, 6DZFC,False,False,False,4,4,5,49275000,2020-10-30,2023-08-13,Lagos,short let
Detached 5 Bedroom Apartment,5 BEDROOM HOUSE FOR SHORTLET,Ikota Villa Ikota Lekki Lagos,sarah-asuquo, 4HCGS,False,True,True,5,5,6,43800000,2022-08-16,2023-08-13,Lagos,short let
5 Bedroom Apartment,5 BEDROOM HOUSE FOR SHORTLET,"Professor Jubril Aminu, Parkview Estate Ikoyi Lagos",acas-homez1, 2JVVR,False,True,True,5,5,5,73000000,2023-07-24,2023-08-13,Lagos,short let
5 Bedroom Duplex,5 BEDROOM HOUSE FOR SHORTLET,Parkview Estate Ikoyi Lagos,kennedy-otunku, 9JWTB,False,False,False,5,5,6,91250000,2023-07-31,2023-08-13,Lagos,short let
Tastefully 2/3 Bedroom Apartments,5 BEDROOM HOUSE FOR SHORTLET,Ozumba Mbadiwe Victoria Island Lagos,homeyrealtyteam, 9JJSR,True,True,True,4,5,4,36500000,2023-04-29,2023-08-13,Lagos,short let
4 Bedroom Apartment,4 BEDROOM HOUSE FOR SHORTLET,Ikate Lekki Lagos,homeyrealtyteam, 0JKVH,False,True,True,4,5,5,73000000,2023-05-07,2023-08-13,Lagos,short let
4 Bedroom Apartment,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Life Camp Abuja,grandporchhomes, 5JLMP,False,True,True,4,5,5,62050000,2023-05-12,2023-08-13,Abuja,short let
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,"Richmond Estate, Lekki Right Hand Side, Ikate Lekki Lagos",lovette, 8JXLY,True,True,True,5,6,6,73000000,2023-08-04,2023-08-13,Lagos,short let
Tastefully Furnished 4 Bedroom Semi Detached House,4 BEDROOM HOUSE FOR SHORTLET,"Off Olaribiro Street, Allen Avenue Allen Avenue Ikeja Lagos",megalux-homes, 4HRPL,False,True,False,4,4,5,35770000,2022-11-29,2023-08-13,Lagos,short let
Furnished 4 Bedroom Apartment,4 BEDROOM HOUSE FOR SHORTLET,Life Camp Abuja,kennedy-otunku, 0HBFB,False,True,True,4,4,4,31025000,2022-08-08,2023-08-13,Abuja,short let
Furnished 4 Bedroom Serviced Apartment,4 BEDROOM HOUSE FOR SHORTLET,Parkview Estate Ikoyi Lagos,olu-ajao, 4FXHX,False,True,True,4,4,4,51100000,2022-01-15,2023-08-13,Lagos,short let
New 4 Bedroom Stand Alone Duplex,4 BEDROOM HOUSE FOR SHORTLET,Orchid Road Lekki Phase 2 Lekki Lagos,kennedy-otunku, 7GLVP,True,True,True,4,0,0,32850000,2022-04-26,2023-08-13,Lagos,short let
3 Bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR SHORTLET, Banana Island Ikoyi Lagos,higherground-realty, 8JXEX,False,True,True,3,3,3,54750000,2023-08-03,2023-08-13,Lagos,short let
Exclusive 3bedroom Partment,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Along Lekki Expressway Lekki Lagos,prince-ademola-osinuga, 8JCET,False,False,False,3,3,4,49275000,2023-03-06,2023-08-13,Lagos,short let
Luxury 3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Old Ikoyi Ikoyi Lagos,kennedy-otunku, 1JWND,True,True,True,3,3,3,36500000,2023-07-29,2023-08-13,Lagos,short let
Lovely 3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Eko Atlantic Victoria Island Lagos,chukwuka-ekeledo1, 7JWJF,True,True,True,3,3,4,58400000,2023-07-27,2023-08-13,Lagos,short let
Newly Built 3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Banana Island Ikoyi Lagos,ojr, 7HWBW,False,True,True,3,3,3,67525000,2023-08-01,2023-08-13,Lagos,short let
Executive 3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,"Off Platinum Way, Opposite Jakande, Ikate Lekki Lagos",franklin15, 6JXEZ,False,True,True,3,3,4,2400000,2023-08-03,2023-08-13,Lagos,short let
New 3 Bedroom Apartment With Swimming Pool,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Lekki Lagos,franklin15, 3JUFZ,True,True,True,3,3,4,32850000,2023-07-12,2023-08-13,Lagos,short let
Haap Flex 3 Bedroom Apartment,4 BEDROOM HOUSE FOR SHORTLET,Thomas Estate Ajah Lagos,jien, 4HBRH,False,True,True,4,4,5,32850000,2022-08-11,2023-08-13,Lagos,short let
Furnished 4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Osapa London Lekki Lagos,property-magnate, 4HYYV,True,True,True,3,3,4,43800000,2023-02-03,2023-08-13,Lagos,short let
Tastefully Furnished 4 Bedroom Flat,4 BEDROOM HOUSE FOR SHORTLET,Osapa London Osapa London Lekki Lagos,bright-innocent1, 1GNJE,False,True,True,4,4,5,34675000,2021-07-15,2023-08-13,Lagos,short let
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Ikota Estate Ikota Lekki Lagos,kennedy-otunku, 7ERVF,False,True,True,3,3,4,40150000,2022-05-08,2023-08-13,Lagos,short let
Lovely 4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SHORTLET,Life Camp Abuja,eniji-international-limited, 0DRXW,True,True,True,3,3,4,31025000,2022-10-30,2023-08-13,Abuja,short let
Luxury 3 Bedrooms Shortstay Apartment (fully Service),3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Eko Atlantic Victoria Island Lagos,zafiro-homes-and-events, 7DTZX,False,True,True,4,4,5,71175000,2020-05-02,2023-08-13,Lagos,short let
Luxury 3 Bedroom Apartment @n100k Per Day. Minimum Of 4 Days!,4 BEDROOM HOUSE FOR SHORTLET,Brains And Hammers Life Camp Abuja,fesgomar-integrated-services, 9EJJE,False,False,False,4,4,5,36500000,2020-08-27,2023-08-13,Abuja,short let
Lovely 4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SHORTLET,Oniru Oniru Victoria Island Lagos,kennedy-otunku, 5GKRU,True,True,True,3,3,3,36500000,2023-03-29,2023-08-13,Lagos,short let
3 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Jahi Abuja,sacrealty, 9JDET,False,True,True,3,3,4,98550000,2023-03-14,2023-08-13,Abuja,short let
3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Lekki Phase 1 Lekki Lagos,kennedy-otunku, 7JWLU,False,True,True,3,3,4,69350000,2023-07-28,2023-08-13,Lagos,short let
3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Oniru Victoria Island Lagos,outstanding-real-estate-limited, 8EMSW,False,False,False,3,3,3,43800000,2021-04-03,2023-08-13,Lagos,short let
Luxury Designed 3 Bedroom Serviced Apartment,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Banana Island Ikoyi Lagos,franklin15, 6JUFZ,True,True,True,3,3,3,62050000,2023-07-12,2023-08-13,Lagos,short let
Spacious 3 Bedroom,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,"Off Adekunle Kuye Road,aguda Aguda Surulere Lagos",sacrealty, 8JFNS,False,False,False,3,3,4,25550000,2023-02-02,2023-08-13,Lagos,short let
3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Oniru Victoria Island Lagos,kim-thompson-, 0GMRR,True,True,True,3,3,4,49275000,2023-04-03,2023-08-13,Lagos,short let
3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikate Lekki Lagos,shelters-apartment, 4JLNF,False,False,True,4,7,8,25550000,2022-09-26,2023-08-13,Lagos,short let
4 Bedroom Dteached Duplex,4 BEDROOM HOUSE FOR SHORTLET,Ikota Lekki Lagos,kennedy-otunku, 2HDJR,False,True,True,3,3,4,32850000,2022-05-09,2023-08-13,Lagos,short let
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Lekki Lagos,enoma-agbonifo1, 0JLPF,False,True,True,3,3,4,58400000,2022-08-24,2023-08-13,Lagos,short let
4 Bedroom Apartment,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Wuye Abuja,dozek-co-pr5eO, 8JLTY,False,True,True,3,3,4,65700000,2023-05-12,2023-08-13,Abuja,short let
