title,categories,address,agent,PIDs,newly_built,serviced,furnished,beds,baths,toilets,price_₦,date_posted,date_updated,state,type
Brand New 3 Bedroom Terraced Duplex + Bq,3 BEDROOM HOUSE FOR RENT,"Phase 1, Lekki Lagos",nicholas-nwaikwu, 0JXWA,False,False,False,3,0,0,7000000,2023-08-07,2023-08-13,Lagos,rent
2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR RENT,Festac Amuwo Odofin Lagos,ojo-adebiyi, 7JXVZ,False,False,False,1,0,0,2500000,2023-08-07,2023-08-13,Lagos,rent
Brand New Room & Parlour Self Contain,1 BEDROOM FLAT / APARTMENT FOR RENT,Mascara Ketu Lagos,future-pride-homes-and-properties-ltd, 5JXVZ,False,False,False,2,0,0,4000000,2023-08-07,2023-08-13,Lagos,rent
Brand New 2 Bedroom Terrace Duplex,2 BEDROOM HOUSE FOR RENT,Ikate Lekki Lagos Lekki Lagos,aford-homes-co, 3JXVY,False,False,False,4,4,5,5000000,2023-08-07,2023-08-13,Lagos,rent
2 Units Of New 4 Bedroom Flat + Bq,4 BEDROOM FLAT / APARTMENT FOR RENT,"Orchid Road, Lekki Lagos",unlock-real-estate, 3JXVX,False,False,False,3,4,0,4500000,2023-08-07,2023-08-13,Lagos,rent
Clean 3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR RENT,Chevron Lekki Lagos,julietjonathan, 0JXVX,True,True,True,3,3,4,3000000,2023-08-07,2023-08-13,Lagos,rent
4 Bedroom Semi Detached Duplex + Bq,4 BEDROOM HOUSE FOR RENT,Osborne Foreshore Estate Ikoyi Lagos,chris-okolo, 7JXVU,True,False,False,2,2,3,15000000,2023-08-07,2023-08-13,Lagos,rent
2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR RENT,"Second Junction, Oke Ira Ogba Lagos",ebuka-of-lagos-plc1, 9JXZK,False,True,False,4,4,5,1500000,2023-08-08,2023-08-13,Lagos,rent
New Built 4 Bedroom Maisonette,4 BEDROOM HOUSE FOR RENT,"Orchid, Lekki Lagos",patriotichomes, 0JXZK,False,True,True,1,1,2,2000000,2023-08-08,2023-08-13,Lagos,rent
Luxury 2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR RENT,River Valley Estate Ojodu Lagos,jilkson-investments-nig-ltd, 6JXXH,False,False,False,2,2,3,500000,2023-08-08,2023-08-13,Lagos,rent
Self Contained Room,FLAT / APARTMENT FOR RENT,Ikota Lekki Lagos,rosemond-hills-limited, 8JXXZ,False,False,False,3,2,2,8000000,2023-08-08,2023-08-13,Lagos,rent
Massive Mini Flat,1 BEDROOM FLAT / APARTMENT FOR RENT,Parkview Estate Ikoyi Lagos,pens-and-walls1, 5JXWL,False,True,False,3,3,3,7000000,2023-08-07,2023-08-13,Lagos,rent
3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR RENT,Ikosi Ketu Kosofe Ikosi Lagos,jaydee-properties, 2JXWL,True,False,False,0,0,0,2200000,2023-08-07,2023-08-13,Lagos,rent
Newly Built 6 Units Of Self Contained Rooms,FLAT / APARTMENT FOR RENT,Ebute Ikorodu Lagos,esquisite-land-and-homes, 8JXYK,True,False,False,1,1,2,350000,2023-08-08,2023-08-13,Lagos,rent
Massive Mini Flat,1 BEDROOM FLAT / APARTMENT FOR RENT,"Lanre Bus Stop, Ikotun Igando Lagos",abray-estates-management, 7JXWK,False,False,True,2,2,2,400000,2023-08-07,2023-08-13,Lagos,rent
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR RENT,Obanikoro Shomolu Lagos,awobifa, 3JXWK,False,False,False,2,0,0,800000,2023-08-07,2023-08-13,Lagos,rent
3 Bedroom Flat,3 BEDROOM HOUSE FOR RENT,Medina Gbagada Lagos,prince-ademola-osinuga, 2JXWJ,False,False,False,2,2,3,2500000,2023-08-07,2023-08-13,Lagos,rent
Lovely 3 Bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR RENT,"Extardoc Estate, Badore Ajah Lagos",rydal-mews-limited3, 4JXVU,False,False,False,2,2,3,1000000,2023-08-07,2023-08-13,Lagos,rent
Clean 2 Bedroom Apartment,2 BEDROOM HOUSE FOR RENT,"Olatilewa Street, Off Cole Via Olufemi Ogunlana Drive, Surulere Lagos",oluwa-segun, 4JXWH,False,True,False,2,3,3,1600000,2023-08-07,2023-08-13,Lagos,rent
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,Victoria Island Lagos,superite-africa, 2JXXW,False,False,False,2,0,0,6000000,2023-08-08,2023-08-13,Lagos,rent
4 Bedroom Terraced Duplex,4 BEDROOM HOUSE FOR RENT,Ologolo Lekki Lagos,future-pride-homes-and-properties-ltd, 3JXXV,True,False,False,3,3,3,4500000,2023-08-08,2023-08-13,Lagos,rent
Executive 3 Bedroom Flat,3 BEDROOM HOUSE FOR RENT,"Fagba, Ogba Lagos",emma-visio-enterprises, 8JXVR,True,False,False,4,0,0,350000,2023-08-07,2023-08-13,Lagos,rent
Newly Built Self Contained Room,1 BEDROOM FLAT / APARTMENT FOR RENT,"An Estate Opposite General Hospital, Ebute Ikorodu Lagos",gadji-abiodun-emmanuel, 0JXWG,False,False,False,2,3,3,1800000,2023-08-07,2023-08-13,Lagos,rent
Executive Mini Flat,1 BEDROOM FLAT / APARTMENT FOR RENT,Magodo Gra Phase 2 Kosofe Ikosi Lagos,unlock-real-estate, 9JXWF,False,False,False,4,4,5,30000000,2023-08-07,2023-08-13,Lagos,rent
Newly Built Mini Flat,1 BEDROOM FLAT / APARTMENT FOR RENT,Ijesha Surulere Lagos,maselhomesnproperties, 8JXWE,True,False,False,1,1,1,900000,2023-08-07,2023-08-13,Lagos,rent
Newly Renovated Self Contain,1 BEDROOM FLAT / APARTMENT FOR RENT,Mile 12 Kosofe Ikosi Lagos,mr-doriwhally, 4JXWE,False,False,False,5,5,5,96000,2023-08-07,2023-08-13,Lagos,rent
Lovely 2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,Ajao Estate Isolo Lagos,thykop-real-estate-management, 6JXWD,True,False,False,1,2,2,800000,2023-08-07,2023-08-13,Lagos,rent
Newly Built 2 Bedroom Flat,2 BEDROOM HOUSE FOR RENT,Akala Express Ibadan Oyo,gracealtar-homes1, 4JXXU,False,False,False,2,2,3,800000,2023-08-08,2023-08-13,Oyo,rent
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,Lekki Lagos,fams-evergreen-services, 1JXXS,False,False,False,4,0,0,3500000,2023-08-08,2023-08-13,Lagos,rent
2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,Banana Island Ikoyi Lagos,gracealtar-homes1, 8JXXR,False,False,False,0,1,1,18000000,2023-08-08,2023-08-13,Lagos,rent
5 Bedroom Penthouse,3 BEDROOM FLAT / APARTMENT FOR RENT,Ifako Gbagada Gbagada Lagos,teesam-homes-nig-ltd, 4JXXR,False,False,False,1,1,1,2500000,2023-08-08,2023-08-13,Lagos,rent
2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,Right Side Lekki Lagos,thykop-real-estate-management, 0JXXR,False,False,False,1,1,1,4500000,2023-08-08,2023-08-13,Lagos,rent
Fully Furnished 2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR RENT,Phase 1 Lekki Lagos,jien, 3JXWD,True,True,True,2,2,3,7000000,2023-08-07,2023-08-13,Lagos,rent
2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,"Harmony Estate, Langbasa, Ajah Lagos",heights-of-splendour-ltd, 7JXWC,False,False,False,2,2,3,900000,2023-08-07,2023-08-13,Lagos,rent
Lovely 2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,Shomolu Lagos,dervy-property-consult, 6JXWC,False,False,False,2,2,0,1200000,2023-08-07,2023-08-13,Lagos,rent
1 Bedroom Flat,1 BEDROOM FLAT / APARTMENT FOR RENT,"Phase 1, Lekki Lagos",jien, 0JXWC,True,True,False,1,2,2,2500000,2023-08-07,2023-08-13,Lagos,rent
Standard 1 Bedroom Apartment,FLAT / APARTMENT FOR RENT,Abule Ijesha Yaba Lagos,dervy-property-consult, 7JXWB,False,False,False,0,0,0,500000,2023-08-07,2023-08-13,Lagos,rent
1 Bedroom Apartment,1 BEDROOM FLAT / APARTMENT FOR RENT,Chevron Lekki Lagos,porch-exclusive-property, 3JXWW,True,True,False,1,1,1,800000,2023-08-08,2023-08-13,Lagos,rent
1 Bedroom Apartment,FLAT / APARTMENT FOR RENT,"Orchid, Chevron Lekki Lagos",porch-exclusive-property, 2JXWW,True,True,False,0,0,0,1300000,2022-11-17,2023-08-13,Lagos,rent
4 Bedroom Terraced Duplex,4 BEDROOM HOUSE FOR RENT,Orchid Road Chevron Lekki Lagos,porch-exclusive-property, 8JXWU,True,False,False,4,4,5,4000000,2023-08-07,2023-08-13,Lagos,rent
4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR RENT,"Orchid Road Before The Roundabout, Chevron Lekki Lagos",okafor-maryann, 6JXWU,True,True,True,4,4,5,5000000,2023-08-07,2023-08-13,Lagos,rent
Newly Built 4 Bedroom Terraced Duplex,4 BEDROOM HOUSE FOR RENT,Wuye Abuja,kolson-properties, 7JXWT,False,False,True,3,3,3,6000000,2023-08-07,2023-08-13,Abuja,rent
Spacious Mini Flat,FLAT / APARTMENT FOR RENT,Abraham Adesanya Estate Ajah Lagos,property-maestro, 4JXWT,True,True,False,4,4,4,800000,2023-08-07,2023-08-13,Lagos,rent
Standard 2 Bedroom Flat,FLAT / APARTMENT FOR RENT,"Pedro, Palmgroove Shomolu Lagos",okafor-maryann, 8JXWQ,False,False,False,0,0,0,1000000,2023-08-07,2023-08-13,Lagos,rent
Mini Flat,4 BEDROOM HOUSE FOR RENT,Orchid Chevron Lekki Lagos,purple-ribbon-properties, 0JXVE,False,False,False,1,0,0,4000000,2023-08-07,2023-08-13,Lagos,rent
Mini Flat,3 BEDROOM HOUSE FOR RENT,Ojota Ogudu Lagos,prince-ademola-osinuga, 9JXVC,False,False,False,4,4,5,1500000,2023-08-07,2023-08-13,Lagos,rent
Newly Built 2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,"After Efab Queen, Gwarinpa Abuja",prince-ademola-osinuga, 2JXVN,True,False,False,2,3,3,1500000,2023-08-07,2023-08-13,Abuja,rent
4 Bedroom Penthouse,4 BEDROOM HOUSE FOR RENT,Oshin Inside Ayobo Ipaja Lagos,jaydee-properties, 7JXWN,False,False,False,0,0,0,700000,2023-08-07,2023-08-13,Lagos,rent
Mini Flat,1 BEDROOM FLAT / APARTMENT FOR RENT,Onike Yaba Lagos,mindset-properties, 6JXWN,True,False,False,1,1,2,600000,2023-08-07,2023-08-13,Lagos,rent
Newly Built 2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,Whitesand Bus Stop Isheri Oshun Bucknor Isolo Lagos,prince-ademola-osinuga, 5JXWN,False,False,False,4,4,5,600000,2023-08-07,2023-08-13,Lagos,rent
2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,Aguda Surulere Lagos,osita-okoli-and-company, 4JXUX,True,False,False,2,2,3,1500000,2023-08-07,2023-08-13,Lagos,rent
2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,"Periwinkle Lifestyle Estate, Lekki Lagos",nene-samuel-ukiwo, 3JXUX,True,True,False,2,2,3,8000000,2023-08-07,2023-08-13,Lagos,rent
3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR RENT,Nbora Abuja,jay-realtor, 4JXUW,False,False,False,3,0,0,3500000,2023-08-07,2023-08-13,Abuja,rent
1 Bedroom Flat,1 BEDROOM FLAT / APARTMENT FOR RENT,Mabushi Abuja,156, 3JXUW,False,False,False,1,1,1,1200000,2023-08-07,2023-08-13,Abuja,rent
1 Bedroom Apartment,1 BEDROOM FLAT / APARTMENT FOR RENT,Oniru Victoria Island Lagos,nene-samuel-ukiwo, 7JXUV,True,True,False,1,1,2,2500000,2023-08-07,2023-08-13,Lagos,rent
3 Bedroom Flat Apartment Along Badore Road,3 BEDROOM FLAT / APARTMENT FOR RENT,Badore Ajah Lagos,homeyrealtyteam, 2JXUV,False,False,False,3,3,4,1000000,2023-08-07,2023-08-13,Lagos,rent
3 Bedroom Terrace Duplex,3 BEDROOM HOUSE FOR RENT,Naf Valley Estate Asokoro Abuja,fesgomar-integrated-services, 1JXUV,False,False,False,3,4,4,6500000,2023-08-07,2023-08-13,Abuja,rent
3 Bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR RENT,Fola Agoro Yaba Lagos,gracealtar-homes1, 1JXUL,False,False,False,3,3,4,600000,2023-08-07,2023-08-13,Lagos,rent
Single Room Self Contain,1 BEDROOM FLAT / APARTMENT FOR RENT,Oniru Victoria Island Lagos,akakuruassociates, 7JXUR,True,True,False,1,1,2,2500000,2023-08-07,2023-08-13,Lagos,rent
4 Bedroom Apartment,4 BEDROOM FLAT / APARTMENT FOR RENT,Olokonla Ajah Lagos,distinct-pragmatic-limited, 4JXVL,False,False,False,2,2,2,1300000,2023-08-07,2023-08-13,Lagos,rent
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,Banana Island Estate Ikoyi Lagos,damdave-consults, 7JXUJ,True,True,True,3,3,3,20000000,2023-08-07,2023-08-13,Lagos,rent
2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR RENT,Sabo Yaba Lagos,best-choice-estate-agent, 9JXUH,True,False,False,1,0,0,1700000,2023-08-07,2023-08-13,Lagos,rent
Mini Flat,1 BEDROOM FLAT / APARTMENT FOR RENT,Lsdpc Maryland Estate Maryland Lagos,akubueze-amara, 4JXUH,True,False,False,4,4,5,1200000,2023-08-07,2023-08-13,Lagos,rent
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,Ikate Lekki Lagos,brickbarnservices, 1JXUP,False,False,False,2,2,3,5000000,2023-08-07,2023-08-13,Lagos,rent
Exquisite 2 Bedroom Apartment,2 BEDROOM HOUSE FOR RENT,"Lekki Epe Expressway, Awoyaya Ajah Lagos",purple-ribbon-properties, 3JXVK,False,False,False,1,0,0,1200000,2023-08-07,2023-08-13,Lagos,rent
Newly Built 2 Bedroom Flat,2 BEDROOM HOUSE FOR RENT,Onipanu Shomolu Lagos,purple-ribbon-properties, 5JXVJ,True,True,True,3,0,0,1000000,2023-08-07,2023-08-13,Lagos,rent
3 Bedroom Terraced Duplex + Bq,3 BEDROOM FLAT / APARTMENT FOR RENT,Gwarinpa Abuja,360-properties, 1JXVJ,False,False,False,0,0,2,5000000,2023-08-07,2023-08-13,Abuja,rent
2 Units Of 2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,Jibowu Yaba Lagos,pablo-global-services-nigeria-ltd, 0JXUH,False,False,False,3,3,4,1500000,2023-08-07,2023-08-13,Lagos,rent
3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR RENT,Ogunlana Surulere Lagos,maximuspropertyltd, 8JXUG,False,True,False,3,4,0,2500000,2023-08-07,2023-08-13,Lagos,rent
3 Bedroom Office Space,3 BEDROOM COMMERCIAL PROPERTY FOR RENT,Jabi Abuja,dervy-property-consult, 4JXUG,False,False,False,3,0,0,4500000,2023-08-07,2023-08-13,Abuja,rent
3 Bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR RENT,Phase 1 Gbagada Lagos,best-choice-estate-agent, 2JXUG,False,False,False,2,0,0,3000000,2023-08-07,2023-08-13,Lagos,rent
Mini Flat,1 BEDROOM FLAT / APARTMENT FOR RENT,Badore Ajah Lagos,mrmideoseni-homes-properties, 8JXUF,False,False,False,2,2,3,500000,2023-08-07,2023-08-13,Lagos,rent
3 Bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR RENT,Phase 1 Gbagada Lagos,chima-ottah-chima-associates1, 4JXUF,False,True,False,4,4,5,3000000,2023-08-07,2023-08-13,Lagos,rent
Newly Built 2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,Apata Ibadan Oyo,brickbarnservices, 2JXUF,False,False,False,2,2,3,250000,2023-08-07,2023-08-13,Oyo,rent
2 Bedroom Apartment,2 BEDROOM HOUSE FOR RENT,Awoyaya Ajah Lagos,maximuspropertyltd, 7JXUE,False,False,False,1,0,0,1200000,2023-08-07,2023-08-13,Lagos,rent
1 Bedroom Flat,1 BEDROOM FLAT / APARTMENT FOR RENT,Asokoro Abuja,dervy-property-consult, 2JXUE,False,False,False,2,0,0,3300000,2023-08-07,2023-08-13,Abuja,rent
Newly Built 6 Unit's Of 2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,Akoka Yaba Lagos,dozek-co-pr5eO, 9JXUD,False,True,False,3,3,4,1300000,2023-08-07,2023-08-13,Lagos,rent
3 Bedroom Flat,3 BEDROOM HOUSE FOR RENT,Awoyaya Ajah Lagos,mo-global-ventures, 3JXUC,False,True,False,3,3,4,900000,2023-08-07,2023-08-13,Lagos,rent
Mini Flat,1 BEDROOM FLAT / APARTMENT FOR RENT,Fola Agoro Yaba Lagos,yusuf-ademola-co-estate-surveyors-and-real-estate-consultant, 2JXUM,True,False,False,0,0,0,1000000,2023-08-07,2023-08-13,Lagos,rent
2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,Soluyi Gbagada Lagos,dervy-property-consult, 6JXUB,False,False,False,2,0,0,1500000,2023-08-07,2023-08-13,Lagos,rent
Spacious 2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,Soluyi Gbagada Lagos,dervy-property-consult, 3JXUB,False,False,False,2,0,0,1500000,2023-08-07,2023-08-13,Lagos,rent
Brand New 2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR RENT,Sangotedo Ajah Lagos,mo-global-ventures, 9JXTW,True,True,False,2,3,3,2000000,2023-08-07,2023-08-13,Lagos,rent
Newly Built Mini Flat Upstairs,1 BEDROOM FLAT / APARTMENT FOR RENT,Aguda Surulere Lagos,gadji-abiodun-emmanuel, 4JXTG,True,True,False,1,1,1,1100000,2023-08-07,2023-08-13,Lagos,rent
3 Bedroom Flat,3 BEDROOM HOUSE FOR RENT,Aguda Surulere Lagos,gadji-abiodun-emmanuel, 1JXTG,False,False,False,3,3,3,1500000,2023-08-07,2023-08-13,Lagos,rent
Spacious 1 Bedroom Apartment,1 BEDROOM HOUSE FOR RENT,"Lekki Epe Expressway, Awoyaya Ajah Lagos",cwre-ltd, 0JXST,False,True,False,3,3,4,500000,2023-08-06,2023-08-13,Lagos,rent
Mini Flat,1 BEDROOM FLAT / APARTMENT FOR RENT,Osapa London Lekki Lagos,property-maestro, 4JXSQ,True,True,False,3,3,3,1200000,2023-08-06,2023-08-13,Lagos,rent
Newly Built Mini Flat,1 BEDROOM FLAT / APARTMENT FOR RENT,"Oshin Off Isefun Camp David Road, Ayobo Ipaja Lagos",layoramb-ventures1, 3JXSQ,False,False,False,3,3,4,400000,2023-08-06,2023-08-13,Lagos,rent
Newly Built 2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,Green Leaf Estate Oluodo Ebute Ikorodu Lagos,speeconnectpropertyng, 7JXSP,True,False,False,2,3,3,700000,2023-08-06,2023-08-13,Lagos,rent
Newly Built 2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,Green Leaf Estate Oluodo Ebute Ikorodu Lagos,speeconnectpropertyng, 6JXSP,False,False,False,2,2,3,800000,2023-08-06,2023-08-13,Lagos,rent
2 Bedroom Flat,2 BEDROOM HOUSE FOR RENT,Osapa London Lekki Lagos,cwre-ltd, 5JXSP,False,False,False,2,2,3,2500000,2023-08-06,2023-08-13,Lagos,rent
2 Bedroom Flat,2 BEDROOM HOUSE FOR RENT,"Salem Spar Road, Jakande Lekki Lagos",franklin15, 4JXSP,False,True,False,3,3,4,4000000,2023-08-06,2023-08-13,Lagos,rent
3 Bedroom Flat,3 BEDROOM HOUSE FOR RENT,"Olorunda Akobo, Ojurin Ibadan Oyo",jolaosotaiwoolusojiesv12345gmailcom, 3JXSN,True,False,False,3,3,4,500000,2023-08-06,2023-08-13,Oyo,rent
Room Self Contained,1 BEDROOM FLAT / APARTMENT FOR RENT,Felele Challenge Ibadan Oyo,ben-solomon, 5JXSM,True,False,False,0,0,0,220000,2023-08-06,2023-08-13,Oyo,rent
